TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
1,37747,18,3,8,2,5,17,15.67,13.38,16.5,16,52,14,34,46,6,15,18,S,1,3,37,M,H,190900 ,20,70172 
1,37762,30,2,2,1,1,25,14,14,3,18,29,13,21,18,6,10,8,A,0,24,63,M,H,198700 ,22,27206 
0,37771,,1,1,1,1,20,20,20,20,19,19,12,17,14,4,6,5,F,0,10,57,M,H,52300 ,29,21517 
0,37800,,3,3,2,2,25,15.67,15.67,17.5,16,35,13,31,29,6,15,13,A,0,20,,M,U,84700 ,19,0 
1,6615,11,3,19,2,12,10,10.67,10.68,11,17,124,16,35,84,8,18,34,S,1,15,,F,U,170100 ,27,0 
0,37831,,6,6,4,4,6,6,6,6.25,15,33,14,31,29,6,14,12,A,1,8,,F,H,84100 ,8,36457 
1,37861,15,2,9,1,7,15,12.5,12.22,10,26,128,10,28,64,4,12,30,A,1,6,69,M,H,93400 ,15,35498 
1,37852,20,4,6,2,3,20,12.5,10.5,15,17,45,13,34,40,6,16,16,A,0,8,37,M,H,87900 ,13,35498 
1,37872,5,7,18,6,13,3,3.29,4.22,3,16,93,13,35,67,6,17,26,S,1,13,61,F,U,430600 ,49,0 
1,6555,10,6,91,4,13,10,11.67,6.1,12.5,5,230,39,58,135,9,20,37,S,1,24,79,M,H,312500 ,19,107323 
0,37915,,3,21,1,10,5,5.67,5.24,5,19,122,6,24,70,2,10,27,S,1,23,47,F,H,269300 ,26,107323 
0,37921,,1,4,0,1,20,20,16.5,,18,86,10,22,44,4,4,18,A,0,10,45,M,H,60600 ,19,24744 
0,37944,,2,9,1,5,25,25,16.33,25,21,76,13,33,61,6,16,23,A,1,23,83,F,H,359700 ,28,56735 
1,37637,10,5,12,5,7,10,10,7.58,10,22,56,13,35,49,6,17,20,A,1,24,48,F,U,130500 ,16,47702 
0,37998,,1,1,1,1,20,20,20,20,16,16,12,17,14,5,7,6,F,0,11,66,M,H,141700 ,24,107958 
1,36690,3,2,4,2,3,15,13,10,13,24,50,11,26,38,5,11,14,A,0,13,,F,U,163100 ,0,0 
1,38031,10,2,2,2,2,10,12.5,12.5,12.5,16,21,13,21,18,6,10,8,N,0,18,39,M,U,82800 ,25,52780 
0,38064,,2,29,1,14,10,10,7.9,10,18,123,14,34,78,5,14,30,A,1,32,80,F,H,47100 ,37,52780 
0,38035,,2,2,2,2,20,17,17,17,22,29,10,23,22,4,10,9,A,0,11,58,M,H,146800 ,32,52780 
0,38025,,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,29,70,M,H,66000 ,49,52780 
1,38098,3,7,20,5,9,3,3.86,4.1,3.8,15,79,10,29,52,4,13,22,S,1,4,70,F,H,165700 ,27,42523 
1,38106,3,12,44,6,21,2,3.25,2.8,3,15,113,11,30,71,5,16,30,S,1,4,17,F,H,180600 ,24,42523 
1,38111,7,5,18,3,13,10,5.6,4.72,5,18,128,13,33,68,6,17,30,S,1,23,84,M,H,74700 ,39,42523 
0,38175,,3,23,2,12,10,11,10.7,10.5,17,126,13,30,75,6,14,30,S,1,10,46,F,H,62500 ,12,34939 
0,38152,,4,4,2,2,20,15.5,15.5,15,18,31,12,27,24,6,13,11,A,0,2,69,M,H,90900 ,22,34939 
0,38202,,5,10,2,5,12,10.4,8.9,10,19,57,14,36,50,6,17,21,S,1,6,76,M,H,102200 ,7,46722 
0,38249,,1,10,0,0,15,15,11,,25,94,10,30,61,5,5,23,A,0,20,,F,U,94300 ,29,48522 
0,36507,,6,13,2,6,20,17.17,14,20,18,119,14,36,67,6,17,30,A,1,10,83,F,U,86900 ,2,48522 
0,38261,,1,8,1,4,20,20,13.5,20,17,104,13,32,66,6,15,27,A,0,8,49,U,H,61300 ,13,33250 
1,38266,10,0,1,0,0,15,0,15,,23,23,5,5,10,2,2,4,N,0,8,75,F,H,59000 ,11,32042 
0,38268,,4,4,3,3,9,8,8,9.67,16,28,13,24,25,5,10,9,A,1,6,41,F,H,74800 ,23,32042 
0,38280,,2,7,0,4,15,14.5,9.43,,18,114,13,29,59,6,6,27,A,0,8,62,F,U,58500 ,33,0 
0,38269,,2,2,2,2,40,25,25,25,17,28,13,27,24,6,13,11,A,0,8,45,F,H,60300 ,21,32042 
1,14552,16,4,20,4,12,17,15.5,10.7,15.5,21,113,14,35,83,6,17,31,S,1,35,48,M,H,151800 ,33,29808 
1,38327,11,4,15,1,9,11,10.5,10.4,11,18,93,14,35,70,6,17,26,A,1,17,86,M,H,73600 ,8,36169 
1,38388,10,3,23,2,13,10,8.33,7.26,7.5,15,128,12,31,77,5,13,30,S,1,6,49,F,H,95500 ,5,37016 
1,38392,20,2,2,0,0,20,20,20,,18,32,10,24,22,4,4,9,A,0,6,63,F,H,111900 ,7,52147 
0,36516,,3,4,1,1,10,7.67,6.75,3,19,29,13,26,24,6,12,10,A,0,8,27,F,U,104000 ,15,0 
0,38425,,1,1,1,1,20,20,20,20,16,16,11,16,13,5,7,6,F,0,14,51,M,H,244400 ,25,62830 
0,38438,,2,2,2,2,25,17.5,17.5,17.5,17,28,13,25,23,6,13,11,A,0,11,73,M,U,143200 ,27,0 
1,10287,15,3,27,3,13,10,10,8.3,10,6,123,29,49,101,6,16,35,A,1,14,83,F,H,125800 ,26,62830 
0,38700,,2,5,0,1,24,23,15.2,,18,78,13,34,48,6,6,20,A,0,14,,U,U,125800 ,26,62830 
1,38519,2,5,17,3,12,2,4,3.12,4.33,17,88,12,28,56,5,12,21,S,1,11,51,F,H,109800 ,30,41607 
1,13239,3,7,12,5,6,3,3.14,2.92,3.2,17,41,26,43,51,6,15,16,A,1,23,68,M,H,308300 ,31,41607 
1,38539,13,5,10,3,5,8,6.6,5.5,6.67,19,44,12,31,38,6,16,16,S,1,23,65,F,U,145800 ,39,62781 
0,38538,,3,4,1,1,15,7.67,8.25,5,17,36,13,34,33,6,16,14,A,0,23,,F,U,145800 ,39,62781 
0,38554,,2,3,1,1,10,9,9.33,8,15,17,11,15,14,5,7,6,N,0,3,,M,U,192900 ,30,0 
0,38562,,4,12,2,6,10,9.5,6.08,9,16,127,12,29,68,5,12,27,A,0,2,55,M,H,183800 ,32,39314 
1,38580,10,1,11,0,7,20,20,14.82,,26,113,10,31,68,5,5,27,A,1,20,61,M,H,114400 ,27,46777 
1,38591,10,2,28,1,14,13,13,12.42,13,20,113,12,33,82,5,15,29,A,1,19,47,M,U,104000 ,7,0 
1,38632,38,12,45,9,24,20,20.67,13.51,21,16,129,13,33,87,5,16,34,S,1,12,47,F,H,86000 ,23,56969 
1,38642,10,1,1,1,1,15,15,15,15,20,20,8,14,13,3,6,5,F,0,18,23,M,U,73100 ,43,46002 
0,38677,,1,16,1,12,10,10,16.06,10,18,122,13,28,75,5,11,27,A,1,11,62,F,H,245200 ,15,40708 
0,38663,,3,10,1,5,10,11.33,9,12,19,93,13,33,63,6,15,24,S,1,19,51,F,H,90000 ,13,40708 
1,38664,30,1,1,1,1,30,30,30,30,17,17,11,16,14,5,7,6,F,0,11,65,M,H,102500 ,15,56250 
0,38692,,3,7,1,3,20,20,16.43,20,19,86,15,36,56,6,16,23,A,0,21,70,M,U,226900 ,0,0 
0,38698,,2,2,1,1,20,12.5,12.5,20,20,28,10,22,21,4,9,8,A,0,21,27,M,U,226900 ,0,0 
1,38707,17,7,8,4,5,12,10.71,10,11.25,17,41,14,31,37,6,16,15,S,1,23,,M,U,333300 ,41,0 
1,38734,26,1,5,0,2,26,26,16,,16,76,11,28,46,5,5,18,A,0,23,27,F,H,197900 ,31,38906 
0,2989,,2,4,1,1,20,22.5,23.75,25,16,28,20,32,34,3,9,10,A,0,4,17,M,H,85100 ,27,61132 
1,38820,20,5,26,4,16,7,8.4,9.58,9.25,22,124,13,32,77,6,16,31,S,1,23,84,M,H,133200 ,38,68869 
1,38812,17,1,6,0,3,17,17,14.33,,15,75,14,32,55,5,5,20,A,1,3,74,F,H,377200 ,30,68869 
1,39935,4,7,8,4,4,4,4.14,4,4,21,32,11,27,27,6,14,12,A,1,33,37,M,U,146400 ,25,68869 
0,38857,,1,1,1,1,50,50,50,50,17,17,11,16,14,5,7,6,F,0,10,23,F,U,41900 ,11,27793 
0,38882,,1,6,0,3,15,15,9.67,,26,111,9,28,56,4,4,24,A,0,10,45,F,H,53000 ,21,27793 
0,36677,,4,4,2,2,10,8.75,8.75,7.5,16,27,14,27,24,6,12,10,A,1,17,35,F,U,79000 ,27,44248 
0,38761,,1,11,0,8,18,18,9.55,,24,115,10,29,72,5,5,30,A,1,22,45,F,U,111300 ,43,0 
1,38924,20,2,2,1,1,20,15,15,10,18,33,10,25,23,4,10,9,A,0,8,65,M,H,74000 ,22,32229 
1,38944,25,1,6,1,5,25,25,16.33,25,17,105,14,32,63,6,15,26,A,1,8,40,M,H,80900 ,20,32229 
0,38958,,8,24,6,11,5,7.5,5.96,7.17,18,57,13,33,54,6,16,21,S,1,21,41,F,H,57900 ,32,40290 
0,6273,,4,40,3,16,11,10.75,9.6,11,21,130,17,36,104,7,18,36,S,1,17,80,F,H,78300 ,35,40290 
1,38987,13,5,21,2,13,10,14.4,11.19,10,21,128,13,32,78,6,16,32,S,1,20,71,F,H,131400 ,27,47750 
0,39025,,8,10,3,5,10,8,7.2,8.33,16,52,14,35,41,6,16,16,A,1,26,7,M,H,128400 ,26,60584 
1,39031,15,2,7,1,4,10,15,7.86,20,16,77,13,28,48,5,11,17,A,0,2,43,F,U,120000 ,43,60584 
0,39083,,1,3,0,1,20,20,10,,26,81,10,21,29,4,4,11,A,0,23,55,M,H,142400 ,41,40032 
1,189848,12,10,30,5,11,12,10,9.73,10,4,87,27,48,83,11,21,31,A,1,26,79,M,U,88500 ,35,40032 
1,185030,10,4,13,2,6,4,12,10.15,12,18,122,16,37,73,6,16,29,S,1,3,80,M,H,82400 ,22,43600 
0,37729,,11,34,8,16,2,1.55,1.5,1.75,16,105,11,27,55,6,16,26,S,1,9,87,M,U,88200 ,17,0 
0,39217,,3,6,1,2,20,17.33,12.67,18,18,53,13,34,44,6,16,18,A,0,33,51,F,H,48800 ,38,55378 
1,39257,25,2,8,2,4,20,15,9.25,15,16,68,14,31,54,6,14,19,A,0,18,27,U,H,109300 ,37,59874 
1,39246,5,7,8,4,4,5,4.43,4.25,4.5,17,29,12,25,25,6,12,10,A,1,18,73,F,H,109300 ,37,59874 
0,39277,,5,6,3,4,15,11.8,10.83,10.67,20,42,12,31,34,6,15,14,A,0,34,69,F,H,136300 ,27,72385 
0,39289,,3,32,3,17,15,10.33,6.91,10.33,21,124,13,31,78,6,16,32,A,1,34,68,F,U,136300 ,27,0 
1,37090,20,2,10,1,4,16,16,13.7,16,25,65,11,32,54,6,16,22,A,0,21,67,M,H,136300 ,14,91874 
1,39326,8,5,8,3,4,10,8.8,7.75,8.67,17,41,14,35,40,6,16,15,A,1,34,39,F,U,136300 ,27,103549 
0,39348,,2,9,0,2,30,27.5,23.33,,15,112,13,33,61,6,6,28,A,0,3,,M,H,113600 ,37,40723 
0,39538,,1,16,0,8,10,10,8.13,,26,130,9,26,66,4,4,27,A,1,26,76,M,U,112500 ,23,0 
0,12415,,11,17,7,11,20,30.27,29,31,15,57,31,51,79,6,17,22,A,1,21,63,M,H,64100 ,25,40208 
1,39438,4,6,7,4,4,4,4.17,4.14,4,18,33,11,28,26,6,14,12,A,1,24,73,F,H,134400 ,22,41999 
0,39530,,4,5,2,3,15,11.25,9.6,12.5,15,41,12,30,31,5,13,13,A,0,15,38,M,H,73900 ,20,41999 
1,39479,4,10,26,5,13,4,4.6,4.11,4,15,124,11,33,73,6,17,31,S,1,27,64,M,H,128700 ,28,46332 
0,39484,,4,4,3,3,10,7.5,7.5,6.67,18,29,13,26,24,6,12,10,A,1,21,69,F,H,63700 ,24,36364 
0,39505,,4,6,3,4,12,10.75,9.17,11.33,21,45,12,28,33,6,14,14,A,1,23,59,M,H,158500 ,30,70410 
1,39613,5,3,14,1,6,10,14,9.69,14,18,111,13,34,66,6,16,27,A,0,21,41,F,H,70100 ,29,49518 
0,39761,,2,6,2,4,15,13.5,10.5,13.5,23,52,12,22,27,5,10,12,A,0,13,81,M,H,254700 ,41,76873 
1,33393,10,2,2,1,1,25,22.5,22.5,20,26,33,11,29,27,5,13,11,A,0,35,46,F,H,157100 ,47,76873 
0,39632,,6,18,4,10,10,8.83,7.22,8.25,20,80,13,32,63,6,16,24,S,1,35,58,F,H,164500 ,26,76873 
1,39667,15,3,7,3,7,15,15,13.71,15,20,92,13,34,62,6,16,24,A,1,18,75,M,H,80900 ,26,38794 
1,39770,20,4,5,2,2,10,12.5,11,15,20,40,12,32,34,6,15,14,A,0,12,,F,U,134200 ,31,61343 
0,39816,,1,4,0,2,30,30,14.75,,26,83,5,17,27,2,2,8,A,0,20,72,F,U,98700 ,29,0 
0,39862,,1,1,0,0,50,50,50,,16,16,12,17,14,5,5,6,F,0,29,63,F,H,129200 ,49,71392 
0,38144,,3,10,2,7,13,12.33,8.4,12,18,105,15,34,63,6,15,27,A,1,8,75,F,H,129200 ,26,71392 
0,39885,,4,6,2,4,12,11,9.33,11,18,44,9,22,27,4,10,10,A,1,20,27,M,H,95600 ,32,71392 
0,39913,,7,9,5,6,10,8.14,7.44,8.4,17,41,16,35,39,6,15,14,A,1,29,,M,H,138600 ,50,68219 
1,12515,20,7,24,5,9,15,13.14,11.46,14,17,110,30,48,98,6,17,33,S,1,33,78,M,H,55300 ,23,42295 
0,39931,,2,2,2,2,25,25,25,25,17,24,13,23,21,6,11,9,N,0,23,57,F,H,406300 ,46,42295 
1,39967,75,1,1,1,1,50,50,50,50,24,24,11,22,20,6,11,9,N,0,28,67,M,U,128900 ,45,52974 
1,189749,10,4,15,3,10,11,10.75,9,10.67,4,68,10,18,33,4,8,14,E,1,17,75,M,U,109300 ,24,59226 
1,40058,25,3,12,3,9,20,18,11.67,18,25,130,11,31,62,6,17,30,A,1,26,87,F,H,118700 ,46,42429 
1,40055,25,2,9,0,3,20,20,17.89,,15,81,13,34,62,6,6,23,A,1,26,81,F,U,118700 ,46,0 
1,40105,23,2,9,0,1,15,19,15,,17,68,13,32,54,6,6,21,A,0,21,51,F,H,70000 ,23,40925 
0,40138,,1,7,0,3,20,20,13.86,,18,85,13,32,59,6,6,23,A,0,33,37,M,H,59400 ,48,51926 
1,190377,24,4,19,2,9,24,24.5,17.89,24.5,16,106,4,12,40,2,6,19,E,0,0,,F,U,72000 ,0,0 
1,39542,5,1,1,1,1,16,16,16,16,18,18,10,15,12,4,6,5,F,0,20,,F,U,89300 ,33,0 
0,40193,,1,3,0,2,15,15,10.33,,22,67,10,17,22,4,4,9,A,0,27,38,M,H,99600 ,28,63202 
0,40234,,4,14,3,8,8,8.25,6.71,7.67,21,76,10,29,53,5,15,21,A,1,33,51,F,U,69900 ,38,0 
0,40224,,2,3,1,1,25,17.5,13.33,10,18,40,13,31,32,6,14,13,A,0,28,45,M,H,111700 ,28,35446 
0,40335,,4,5,3,3,6.25,6.25,7,6.25,19,32,14,28,27,6,12,10,A,0,30,,F,U,53300 ,23,35446 
0,40232,,2,12,0,4,25,25,13.33,,18,68,13,35,56,6,6,23,S,1,33,79,M,H,69300 ,38,35446 
1,40283,25,3,15,1,9,25,35,15.2,30,18,124,13,35,78,6,17,33,S,1,27,42,F,H,80100 ,37,36946 
0,10812,,6,26,4,11,14,14.33,11.77,14.5,5,75,31,50,90,7,18,26,S,1,28,,M,U,84700 ,34,0 
0,40276,,9,22,5,10,5,4.78,4.64,4.4,15,88,15,37,62,6,17,26,A,1,26,54,F,H,74700 ,41,36946 
1,40520,10,2,13,1,7,10,11,9.54,10,18,105,13,33,69,6,15,25,S,1,13,86,F,H,96500 ,43,44404 
0,40313,,2,7,0,2,35,30,15.86,,17,75,15,37,59,6,6,23,A,0,27,71,F,U,73600 ,25,0 
1,40341,15,3,8,1,3,16,14.67,10,16,17,65,13,27,46,6,12,16,A,0,18,73,F,H,90200 ,28,43310 
1,40338,21,3,5,2,3,15,15.33,12.4,15.5,26,41,10,32,35,5,16,15,A,1,18,28,F,U,90200 ,28,0 
1,39659,20,6,12,5,8,15,14,12.33,13.8,19,53,13,33,47,6,17,19,S,1,21,43,M,U,89700 ,29,43310 
1,50640,5,4,18,1,13,8,7.75,6.06,6,15,127,9,24,57,4,10,23,S,1,39,76,M,H,90800 ,24,43310 
0,39695,,2,15,1,6,25,22.5,11.13,25,17,80,15,37,67,6,17,27,A,1,17,60,M,U,87400 ,25,0 
0,185153,,2,4,2,2,25,260,138.75,260,5,29,39,53,52,6,13,11,A,0,0,,F,U,80200 ,0,0 
1,187639,10,3,6,2,5,10,10,8.33,10,21,43,6,14,18,2,6,8,E,0,23,,M,U,132700 ,30,0 
0,40396,,4,20,1,10,6,6.5,5.2,6,21,128,10,31,71,5,15,31,A,1,40,72,M,H,107100 ,37,64434 
1,40379,6,4,8,3,7,10,6.25,5.38,6.67,16,53,14,33,44,6,14,17,S,1,35,36,M,H,235700 ,21,64434 
0,40383,,3,8,0,2,7,8,6.38,,15,74,12,31,45,6,6,17,A,0,29,84,F,H,72400 ,53,64434 
1,40407,10,2,11,1,5,17,17,11.55,17,19,113,15,30,65,6,13,25,A,0,31,74,M,H,178500 ,0,69558 
1,40421,5,8,26,6,12,24,7.38,6.27,5,18,68,14,34,59,6,17,22,S,1,24,58,M,H,127000 ,41,69558 
1,40516,21,2,6,0,2,15,15,12.33,,15,70,12,32,53,5,5,20,A,0,23,82,F,U,193800 ,44,79524 
0,40501,,1,1,1,1,20,20,20,20,17,17,10,15,13,4,6,5,F,0,13,67,M,H,325000 ,56,79524 
1,40566,17,6,7,1,1,15,12.17,10.86,17,18,38,14,34,35,6,15,13,S,1,17,56,F,U,153000 ,7,76025 
0,40565,,4,6,1,2,15,9.25,7.5,6,20,40,12,31,35,6,16,15,A,0,11,49,M,H,179300 ,31,76025 
0,8639,,0,11,0,4,25,0,17.18,,14,67,36,36,83,5,5,20,A,1,31,73,M,H,84200 ,0,0 
1,40637,20,6,20,4,11,24,19,12.5,19.75,22,124,13,35,65,6,17,30,S,1,31,65,F,H,84200 ,0,0 
0,40664,,2,11,0,7,21,19,11.75,,25,118,11,32,70,6,6,32,A,1,24,79,F,H,83800 ,44,55882 
0,40659,,1,7,0,4,6,15,11.29,,16,79,13,32,53,6,6,21,A,1,27,78,M,H,67200 ,33,55882 
1,2085,20,6,13,4,8,20,19.67,19.31,20.75,7,64,27,49,85,11,22,31,A,1,27,52,M,H,85200 ,41,55882 
1,40655,20,1,9,0,5,20,20,11,,18,69,13,32,51,6,6,20,A,1,26,61,M,H,81000 ,50,55882 
1,35581,15,2,7,1,4,15,13,10.43,11,20,87,14,31,42,4,11,15,A,0,12,68,M,U,90600 ,35,0 
0,80946,,2,5,1,3,55,52.5,39,50,18,76,8,25,41,4,13,18,A,0,36,,F,U,65100 ,38,33583 
0,40757,,4,4,3,3,15,12.5,12.5,11.67,17,24,13,23,23,6,11,9,N,1,24,85,M,U,83500 ,37,0 
0,40804,,4,7,2,3,5,7.5,6.14,7.5,18,41,13,31,35,6,14,14,A,1,37,72,M,U,78800 ,45,33581 
0,40820,,6,19,6,12,15,8,7.63,8,18,93,14,32,65,6,17,25,S,1,41,70,F,H,53500 ,52,33581 
0,40845,,1,1,1,1,20,20,20,20,17,17,10,15,13,4,6,5,F,0,40,,F,H,88300 ,34,64275 
0,13424,,7,25,4,10,10,10.57,9.08,10.5,18,74,28,49,80,6,17,25,S,1,12,,F,U,96100 ,29,0 
1,16871,20,2,12,1,4,20,20,14.75,20,23,69,12,33,59,6,16,22,S,1,34,75,M,U,148800 ,20,79249 
0,40891,,4,6,2,3,50,50,50,50,25,57,13,35,51,6,17,21,A,0,36,77,F,H,93300 ,39,79249 
1,40919,10,6,12,3,6,11,9.67,7.17,11,16,115,11,25,43,5,11,15,A,1,28,79,U,U,77200 ,60,44789 
1,40968,17,3,6,2,5,20,16.67,13.67,17.5,17,51,13,34,45,6,16,18,A,1,40,,F,U,96100 ,36,0 
1,40956,25,1,1,0,0,15,15,15,,15,15,7,9,9,2,2,3,E,0,37,73,F,U,87600 ,41,52299 
1,11115,10,2,8,2,4,20,15,13.75,15,6,81,27,42,76,6,13,20,A,0,40,47,M,H,95400 ,37,52299 
0,40977,,1,9,0,5,25,25,11.44,,18,122,13,29,62,6,6,27,A,1,36,59,F,H,70000 ,34,52299 
0,41000,,3,5,2,4,30,20.33,18.2,15.5,26,41,13,35,38,5,16,15,A,0,29,,F,U,90700 ,59,0 
0,39070,,1,3,0,1,25,25,21.67,,18,52,13,27,37,6,6,16,A,0,33,56,M,H,92400 ,30,48226 
1,41434,5,3,17,2,7,5,9.67,6.59,8.5,17,130,12,31,72,6,15,29,A,1,10,50,M,H,78200 ,38,48226 
0,41068,,2,4,1,1,13,14,11,13,17,39,13,32,32,6,14,13,A,0,24,,M,U,136500 ,37,0 
1,40351,30,1,5,0,3,30,30,28,,17,93,15,28,56,6,6,21,A,0,18,,U,U,107400 ,38,0 
1,41091,10,3,14,1,10,10,9,7.21,10,18,120,15,34,68,6,14,28,S,1,29,71,F,H,66100 ,46,66256 
1,41089,5,3,24,0,10,11,9.67,7.08,,19,110,10,25,64,4,4,24,S,1,28,75,F,U,88300 ,33,66256 
0,41078,,1,3,0,1,15,15,10.33,,18,52,10,24,32,4,4,11,A,0,24,53,F,H,89100 ,30,66256 
0,41094,,3,18,1,10,10,7.33,11.78,10,16,123,14,33,80,5,13,31,S,1,30,,M,H,83200 ,27,66256 
1,41222,20,2,9,1,6,20,20,11.44,20,18,125,13,35,63,6,17,29,A,0,21,32,M,U,95600 ,30,0 
1,41187,15,2,2,2,2,15,15,15,15,21,28,11,22,23,4,10,9,A,0,10,,M,U,51400 ,15,0 
0,43706,,5,5,2,2,10,7.6,7.6,6.5,16,29,13,26,24,6,12,10,A,0,20,,M,H,50800 ,55,32547 
0,41221,,1,8,1,4,15,15,8.38,15,17,113,7,15,31,2,6,12,A,1,10,76,M,H,54500 ,35,56069 
1,41243,12,2,11,0,6,12,11,9.82,,20,102,13,33,64,6,6,26,A,1,16,75,F,U,55600 ,45,0 
1,33003,8,7,8,3,4,10,7.71,7.38,8,16,45,16,33,38,6,14,14,A,0,24,45,F,U,83100 ,28,51939 
0,44604,,4,15,3,7,2,6.75,4.87,7.33,16,77,7,24,44,4,13,19,A,1,31,,U,U,57100 ,47,0 
1,41288,9,9,11,6,7,6,5.11,5,4.83,17,41,7,23,27,4,14,13,S,1,8,84,M,H,46600 ,25,33286 
1,41312,23,1,11,0,6,17,17,11.09,,18,123,15,34,71,6,6,31,A,1,9,67,F,H,57700 ,30,33286 
0,41295,,2,6,2,3,3,9,4.83,9,18,52,11,27,34,5,11,13,A,0,8,59,F,U,73000 ,42,33286 
0,41332,,1,7,1,6,20,20,15.71,20,21,104,12,31,66,6,15,25,A,1,25,,F,U,55000 ,14,0 
1,41325,12,5,6,1,2,7,6.2,5.67,7,18,41,12,27,25,6,12,11,A,0,16,34,F,U,80300 ,34,0 
0,41022,,1,1,1,1,15,15,15,15,16,16,11,16,13,4,6,5,F,0,25,71,M,U,55000 ,14,34909 
1,41384,12,5,14,3,6,13,12,9.43,12.67,19,77,13,34,59,6,16,23,S,1,21,46,F,H,55600 ,35,48602 
0,41376,,4,4,2,2,14,12.25,12.25,12,17,32,13,29,28,6,13,11,A,0,16,56,F,U,59700 ,37,0 
0,41396,,2,6,1,3,18,17,14.5,16,21,81,12,32,55,6,16,23,A,0,21,62,F,H,60700 ,37,37692 
1,41448,15,5,7,2,3,12,11.4,9.86,11,17,44,15,33,37,6,15,15,A,1,3,55,F,U,150300 ,31,0 
1,41445,35,1,2,0,0,20,20,17.5,,26,35,9,25,24,4,4,10,A,0,12,45,M,H,100700 ,26,61534 
0,41463,,1,1,0,0,20,20,20,,20,20,10,17,14,4,4,6,F,0,21,43,F,H,32500 ,19,35460 
1,41482,5,7,17,4,11,5,5,3.41,5,18,125,11,30,60,6,16,28,A,1,30,72,F,H,51300 ,34,35460 
1,41545,5,4,19,2,9,5,6.5,5.79,7,15,105,13,29,64,5,12,25,S,1,18,,M,U,65800 ,25,0 
0,41512,,2,8,2,4,20,20,17.63,20,19,52,14,36,50,6,17,19,A,0,12,34,F,H,90600 ,25,61471 
1,41537,50,6,7,3,3,15,15.83,14.29,16.67,17,44,13,31,37,6,15,15,A,1,18,36,F,U,74200 ,35,0 
1,190626,10,2,14,2,11,10,14,8.79,14,22,130,12,31,73,6,16,31,S,1,30,68,M,U,76800 ,44,59625 
1,41569,18,3,6,1,2,18,14.33,10,16,17,53,15,36,45,6,16,18,A,0,3,72,F,H,107900 ,11,82495 
0,11048,,5,12,4,7,10,10,7.92,10,17,65,19,35,68,6,15,19,A,0,7,73,F,H,76900 ,31,82495 
1,41604,10,3,13,2,8,12,10.67,8.31,11,17,81,8,20,41,4,10,15,S,1,12,73,F,H,91900 ,37,55485 
0,41614,,3,6,2,5,20,18.67,16.17,19,21,112,13,29,54,6,14,22,A,0,17,36,M,H,60900 ,29,43639 
0,41347,,2,4,1,1,15,20,20,25,18,35,14,32,32,6,15,13,A,0,17,,U,U,60900 ,29,0 
1,40786,5,3,16,1,9,5,5.67,11.38,5,18,91,13,31,59,5,13,22,S,1,37,72,M,H,116300 ,42,0 
0,13004,,4,25,2,12,10,10,9.48,10,16,105,25,41,88,5,14,30,A,1,10,27,F,U,33100 ,30,36433 
0,41661,,2,2,0,0,15,10,10,,15,20,12,19,16,5,5,7,N,0,16,,F,U,57600 ,39,0 
1,41666,5,5,5,4,4,11,11.4,11.4,11.25,22,32,12,31,30,6,15,13,A,0,13,52,F,H,149500 ,40,45345 
0,41699,,4,17,2,12,10,13,12.06,16,18,127,14,35,79,6,16,32,S,1,20,7,M,U,61300 ,47,45345 
1,57017,20,1,1,1,1,20,20,20,20,23,23,10,17,15,3,6,5,N,0,36,,F,U,48400 ,41,0 
1,41715,3,7,10,2,4,5,3.57,3.3,3,18,45,12,31,35,6,15,15,A,1,9,,U,U,69600 ,34,0 
1,11011,20,4,18,4,8,15,15,12.61,15,5,75,30,52,90,7,18,25,A,1,21,71,M,H,55900 ,36,53090 
0,41731,,4,4,2,2,10,10,10,10,18,24,13,23,22,6,11,9,N,0,5,65,F,H,59800 ,37,60060 
0,41922,,2,2,1,1,60,55,55,60,16,20,14,21,20,6,9,7,N,0,5,,U,U,59800 ,37,0 
1,41936,13,5,9,3,5,15,13.2,14.44,13.33,18,79,10,25,37,4,11,13,A,1,5,,U,U,110300 ,47,0 
0,41981,,4,17,3,8,10,13,8.76,13.33,18,123,14,36,79,6,17,33,A,1,23,36,F,U,109400 ,31,35178 
1,41785,17,5,10,3,7,20,14.8,11.2,13,16,56,15,33,46,5,15,20,S,1,23,69,F,H,97200 ,38,62369 
0,41834,,3,35,3,21,10,10,6.74,10,26,129,9,30,80,4,14,32,A,1,29,7,M,U,59300 ,43,0 
0,41839,,6,22,4,12,10,6.83,6.36,6.25,18,126,9,26,68,4,13,28,S,1,10,87,F,H,59300 ,54,40993 
1,41819,15,2,2,0,0,15,10,10,,20,32,10,22,23,4,4,7,A,0,10,49,M,H,46700 ,36,40993 
1,45390,20,2,11,0,3,15,15.5,12.27,,26,85,10,31,63,5,5,24,S,1,20,7,F,U,98900 ,32,0 
