target_flag,gender,education,home_value,age,buy_online,mosaic_group,marital,poc,occupation,mortgage,home_owner,region,new_car,home_income
Y,M,2. Some College,245598,5_<=55,Y,B,Married,N,Professional,1Low,Owner,West,2,F
N,F,1. HS,0,4_<=45,N,G,Married,Y,Sales/Service,1Low,Renter,Northeast,7,E
Y,M,1. HS,0,6_<=65,N,A,,N,Sales/Service,1Low,Renter,South,3,C
Y,M,3. Bach,173048,4_<=45,Y,E,Married,N,Professional,1Low,Owner,West,2,E
N,F,1. HS,37474,2_<=25,N,G,Single,N,Sales/Service,1Low,Owner,South,8,F
N,F,1. HS,0,6_<=65,Y,J,Married,N,Sales/Service,1Low,Owner,Northeast,4,E
N,M,2. Some College,0,5_<=55,N,G,Single,Y,Sales/Service,1Low,Renter,Midwest,7,B
N,M,2. Some College,150147,4_<=45,Y,I,,Y,Blue Collar,1Low,Owner,Midwest,6,E
N,M,3. Bach,123279,1_Unk,N,J,Married,U,Blue Collar,2Med,Owner,Northeast,2,D
Y,M,1. HS,259202,6_<=65,Y,E,Married,N,Professional,1Low,Owner,Midwest,1,G
N,M,2. Some College,225303,5_<=55,Y,B,Married,N,Professional,2Med,Owner,West,3,G
N,M,3. Bach,142597,4_<=45,Y,C,Married,Y,Professional,1Low,Owner,South,1,F
Y,M,3. Bach,67580,3_<=35,Y,I,,N,Sales/Service,1Low,Owner,Midwest,8,D
N,M,4. Grad,108564,7_>65,N,I,Married,N,Retired,1Low,Owner,South,2,C
N,F,2. Some College,207427,1_Unk,Y,F,,N,Sales/Service,1Low,Renter,West,2,E
Y,F,1. HS,322912,1_Unk,Y,E,,N,Professional,3High,Owner,Northeast,2,E
Y,F,1. HS,0,1_Unk,Y,G,Single,N,Sales/Service,1Low,Renter,West,9,A
N,F,2. Some College,46826,3_<=35,N,B,,U,Sales/Service,1Low,Owner,Midwest,2,B
Y,F,3. Bach,204375,4_<=45,Y,C,Married,N,Blue Collar,1Low,Owner,Midwest,2,G
Y,F,2. Some College,202720,1_Unk,N,G,,U,Sales/Service,1Low,Renter,Northeast,3,D
N,F,2. Some College,108956,3_<=35,Y,J,,N,Sales/Service,1Low,Owner,West,6,G
N,U,1. HS,84000,1_Unk,Y,I,,N,Sales/Service,1Low,Renter,Midwest,1,D
Y,M,4. Grad,235843,4_<=45,Y,J,Married,U,Professional,1Low,Owner,Northeast,1,A
Y,M,4. Grad,240070,3_<=35,N,A,Married,U,Sales/Service,1Low,Renter,South,3,E
Y,M,3. Bach,595140,5_<=55,N,B,,N,Professional,2Med,Owner,Northeast,3,H
N,F,3. Bach,273764,1_Unk,N,B,Married,N,Sales/Service,1Low,Owner,Midwest,1,F
Y,F,4. Grad,192030,3_<=35,Y,F,Married,U,Professional,1Low,Owner,Northeast,2,F
N,F,2. Some College,201214,4_<=45,Y,F,,Y,Blue Collar,1Low,Owner,Northeast,2,B
Y,M,2. Some College,83123,1_Unk,Y,G,Single,N,Blue Collar,1Low,Owner,Midwest,8,D
Y,M,3. Bach,169309,3_<=35,Y,E,Single,Y,Professional,1Low,Renter,Northeast,1,I
Y,F,4. Grad,116700,5_<=55,Y,I,Single,N,Professional,1Low,Owner,Midwest,3,D
Y,M,4. Grad,1281840,6_<=65,N,B,Married,N,Professional,3High,Owner,Northeast,1,L
N,M,3. Bach,0,5_<=55,Y,B,Married,U,Professional,1Low,Owner,West,8,F
N,F,1. HS,267769,5_<=55,N,J,Married,Y,Blue Collar,1Low,Owner,South,8,B
Y,M,1. HS,451096,3_<=35,Y,C,Married,Y,Professional,1Low,Owner,West,1,F
Y,M,2. Some College,0,4_<=45,Y,F,Married,Y,Blue Collar,1Low,Owner,West,6,E
N,F,4. Grad,244997,7_>65,Y,D,Married,N,Professional,1Low,Owner,South,4,F
Y,F,1. HS,359700,5_<=55,Y,J,Married,N,Professional,1Low,Owner,South,1,F
N,M,1. HS,154736,1_Unk,N,C,,Y,Sales/Service,1Low,Owner,South,3,D
N,M,4. Grad,136882,3_<=35,Y,B,,U,Sales/Service,1Low,Owner,South,1,D
N,F,4. Grad,180940,7_>65,Y,D,Married,Y,Retired,1Low,Owner,Midwest,2,E
N,M,1. HS,210915,5_<=55,Y,B,Married,Y,Blue Collar,1Low,Owner,Midwest,4,E
N,M,4. Grad,0,7_>65,N,H,,N,Retired,1Low,Renter,Midwest,4,D
Y,M,3. Bach,402896,3_<=35,Y,C,Married,Y,Professional,1Low,Owner,Midwest,2,H
Y,M,3. Bach,834504,5_<=55,Y,C,Married,Y,Professional,3High,Owner,South,1,K
Y,M,4. Grad,909278,3_<=35,N,E,Married,Y,Professional,1Low,Renter,Northeast,5,D
N,M,2. Some College,72921,4_<=45,Y,G,Single,U,Sales/Service,1Low,Owner,Northeast,8,D
Y,M,3. Bach,263834,5_<=55,N,F,Married,U,Professional,1Low,Owner,South,6,D
N,M,2. Some College,187858,2_<=25,N,E,,N,Blue Collar,1Low,Owner,South,4,C
Y,F,2. Some College,0,5_<=55,Y,H,Single,N,Sales/Service,1Low,Renter,West,7,G
Y,F,2. Some College,330400,2_<=25,Y,C,Married,U,Professional,1Low,Owner,South,3,F
N,F,0. <HS,0,6_<=65,N,E,,N,Sales/Service,1Low,,West,8,D
N,F,1. HS,753244,3_<=35,N,C,,Y,Others,1Low,Owner,West,5,F
Y,M,4. Grad,0,4_<=45,N,G,Single,U,Professional,1Low,,South,2,F
N,F,1. HS,195212,1_Unk,N,C,Married,Y,Sales/Service,2Med,Owner,South,3,F
N,M,1. HS,0,6_<=65,N,J,Single,N,Blue Collar,1Low,Owner,Midwest,1,A
Y,M,3. Bach,193420,7_>65,N,F,,U,Retired,1Low,Owner,Midwest,2,E
N,U,3. Bach,0,1_Unk,N,G,,U,Professional,1Low,Renter,South,7,D
N,F,1. HS,90906,4_<=45,Y,F,Married,Y,Blue Collar,1Low,Owner,South,3,B
N,M,2. Some College,144108,3_<=35,Y,E,Married,Y,Sales/Service,1Low,Owner,West,6,E
N,F,0. <HS,324983,5_<=55,N,C,Married,Y,Professional,1Low,Owner,West,1,E
N,M,1. HS,0,4_<=45,Y,H,,N,Blue Collar,1Low,Renter,South,9,A
N,M,4. Grad,0,4_<=45,N,G,Single,Y,Blue Collar,1Low,Renter,South,4,B
N,M,1. HS,0,1_Unk,Y,G,Married,U,Sales/Service,1Low,,Northeast,9,D
Y,M,4. Grad,272500,6_<=65,Y,B,Married,Y,Professional,1Low,Owner,Northeast,1,H
Y,M,3. Bach,712424,5_<=55,Y,B,Married,N,Professional,3High,Owner,West,2,I
N,M,2. Some College,0,4_<=45,N,J,,Y,Blue Collar,1Low,Owner,Midwest,3,A
N,M,0. <HS,250809,7_>65,Y,E,,Y,Retired,1Low,Owner,South,4,C
N,M,3. Bach,212550,4_<=45,N,C,Married,Y,Blue Collar,2Med,Owner,Midwest,8,D
Y,M,3. Bach,445472,4_<=45,Y,C,Married,Y,Professional,1Low,Owner,Midwest,3,J
N,M,3. Bach,488374,1_Unk,Y,C,,U,Professional,1Low,Owner,South,1,I
Y,F,4. Grad,772352,5_<=55,Y,B,Married,Y,Professional,3High,Owner,South,1,I
Y,M,2. Some College,0,6_<=65,Y,F,Married,Y,Retired,1Low,Owner,Midwest,5,E
Y,M,4. Grad,1192896,4_<=45,N,A,Single,U,Professional,1Low,Owner,West,1,G
N,F,2. Some College,106296,5_<=55,Y,F,Married,Y,Blue Collar,1Low,Owner,South,3,E
N,F,3. Bach,0,3_<=35,N,G,Single,Y,Sales/Service,1Low,Renter,South,7,B
N,F,2. Some College,726594,2_<=25,Y,H,,N,Sales/Service,1Low,Renter,West,1,F
N,M,0. <HS,0,4_<=45,N,J,Married,Y,Blue Collar,1Low,Owner,Northeast,4,E
Y,F,3. Bach,338968,5_<=55,Y,B,Married,N,Professional,2Med,Owner,Northeast,1,H
Y,M,1. HS,174574,6_<=65,Y,E,Married,N,Professional,1Low,Owner,South,2,F
N,M,0. <HS,160066,1_Unk,Y,G,Single,U,Blue Collar,1Low,Renter,West,9,E
N,M,2. Some College,178574,3_<=35,N,F,Married,Y,Professional,1Low,Owner,South,2,F
Y,F,1. HS,408750,3_<=35,Y,B,Married,Y,Sales/Service,3High,Owner,Northeast,1,J
Y,M,2. Some College,568162,3_<=35,Y,C,Married,Y,Blue Collar,3High,Owner,West,2,E
Y,M,4. Grad,524562,5_<=55,Y,B,Married,U,Professional,1Low,Owner,South,1,G
Y,F,2. Some College,293929,5_<=55,Y,C,Married,Y,Sales/Service,1Low,Owner,South,4,G
Y,F,1. HS,117600,4_<=45,N,A,,U,Sales/Service,1Low,Owner,South,8,C
N,F,2. Some College,80442,2_<=25,N,E,Married,Y,Blue Collar,1Low,Owner,South,9,D
Y,M,,491873,4_<=45,N,C,Married,U,Professional,3High,Owner,West,1,B
Y,F,2. Some College,407387,5_<=55,N,B,Married,U,Blue Collar,3High,Owner,Midwest,1,J
Y,M,,355850,1_Unk,Y,B,,Y,Others,2Med,Owner,West,2,E
N,M,3. Bach,103569,1_Unk,N,F,Married,Y,Others,1Low,Owner,South,5,D
N,F,2. Some College,310868,6_<=65,Y,E,Married,Y,Sales/Service,1Low,,Northeast,2,D
Y,F,0. <HS,545991,1_Unk,N,I,,N,Professional,1Low,Owner,South,1,C
N,M,4. Grad,337464,7_>65,Y,D,Married,N,Retired,1Low,Owner,South,1,E
Y,F,1. HS,128800,5_<=55,Y,F,Single,U,Sales/Service,1Low,,South,2,C
Y,M,2. Some College,0,4_<=45,Y,F,Single,Y,Sales/Service,1Low,Owner,South,7,E
N,F,1. HS,125829,1_Unk,Y,I,,U,Sales/Service,1Low,Owner,South,2,E
Y,U,4. Grad,0,1_Unk,Y,A,Single,U,Sales/Service,1Low,,Northeast,9,D
Y,F,3. Bach,446390,4_<=45,Y,C,Married,Y,Professional,3High,Owner,Midwest,1,G
N,M,4. Grad,239800,4_<=45,Y,J,Married,Y,Professional,2Med,Owner,South,6,F
Y,M,2. Some College,242252,2_<=25,Y,E,Married,U,Sales/Service,1Low,Owner,West,2,H
Y,U,3. Bach,88322,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,West,9,D
N,F,2. Some College,271638,4_<=45,Y,C,,N,Professional,3High,Owner,South,2,I
N,M,1. HS,90354,4_<=45,Y,G,,U,Blue Collar,1Low,Renter,South,8,D
N,M,3. Bach,550014,3_<=35,Y,C,,N,Professional,3High,Owner,Northeast,1,J
Y,M,2. Some College,389217,1_Unk,Y,B,,U,Sales/Service,1Low,Owner,South,3,I
N,M,1. HS,218272,4_<=45,N,G,,U,Blue Collar,1Low,Owner,West,7,E
Y,M,3. Bach,885080,4_<=45,Y,E,Married,Y,Professional,2Med,Owner,South,1,C
N,F,2. Some College,79252,6_<=65,Y,B,Married,N,Sales/Service,1Low,Owner,South,4,E
N,M,2. Some College,306617,2_<=25,N,G,,Y,Blue Collar,1Low,Owner,West,6,F
N,M,1. HS,247674,7_>65,N,I,,U,Retired,1Low,Owner,South,6,D
N,F,4. Grad,260946,3_<=35,Y,B,,N,Sales/Service,1Low,Owner,South,4,F
Y,M,2. Some College,270674,5_<=55,N,D,Single,N,Blue Collar,1Low,Owner,West,8,C
Y,F,4. Grad,407136,3_<=35,Y,B,,N,Professional,1Low,Owner,South,2,J
N,F,3. Bach,401719,7_>65,Y,B,,N,Retired,1Low,Owner,Northeast,3,G
Y,M,3. Bach,526034,7_>65,N,B,Married,N,Retired,3High,Owner,Northeast,1,F
Y,F,2. Some College,156469,4_<=45,N,I,Married,U,Blue Collar,1Low,,Midwest,8,E
Y,F,2. Some College,146419,3_<=35,N,F,Married,Y,Professional,2Med,Owner,South,5,B
Y,M,4. Grad,695420,5_<=55,Y,B,Married,Y,Professional,3High,Owner,South,1,J
N,M,3. Bach,519480,3_<=35,Y,C,,N,Blue Collar,1Low,Owner,Rest,3,G
N,F,1. HS,226992,7_>65,Y,F,Married,N,Retired,1Low,Owner,South,5,C
Y,M,1. HS,1771686,6_<=65,Y,B,Married,N,Sales/Service,1Low,Owner,West,1,A
Y,F,2. Some College,230535,5_<=55,Y,E,Married,N,Sales/Service,2Med,Owner,South,2,I
Y,M,4. Grad,277950,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,Northeast,2,H
N,F,2. Some College,142441,1_Unk,N,C,Married,Y,Others,1Low,Owner,South,1,E
N,F,2. Some College,554275,2_<=25,Y,B,Married,U,Blue Collar,2Med,Owner,West,1,E
N,M,1. HS,296054,6_<=65,N,E,Married,Y,Blue Collar,1Low,Owner,Northeast,2,E
Y,M,3. Bach,269137,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,South,3,F
N,F,0. <HS,0,3_<=35,Y,F,Single,Y,Farm,1Low,Owner,South,3,D
N,F,2. Some College,245250,5_<=55,N,A,Single,U,Professional,1Low,Renter,West,2,E
Y,M,4. Grad,245413,5_<=55,N,B,Married,Y,Professional,1Low,Owner,South,2,F
Y,U,3. Bach,0,1_Unk,N,A,Married,Y,Sales/Service,1Low,Renter,South,7,E
Y,M,3. Bach,513804,7_>65,Y,B,Married,N,Professional,1Low,Owner,West,5,J
Y,F,4. Grad,658839,6_<=65,Y,B,Married,U,Sales/Service,3High,Owner,South,1,F
N,M,1. HS,0,6_<=65,N,G,Married,N,Professional,1Low,,West,9,F
Y,M,4. Grad,1954152,5_<=55,N,B,,U,Sales/Service,1Low,Renter,West,1,L
N,F,2. Some College,0,6_<=65,N,F,,Y,Sales/Service,1Low,Owner,Midwest,7,C
N,F,1. HS,303161,7_>65,Y,E,,N,Retired,1Low,Owner,Northeast,3,G
Y,M,3. Bach,658131,7_>65,Y,B,Married,N,Retired,1Low,Owner,South,2,H
Y,M,4. Grad,653877,1_Unk,Y,C,Married,Y,Sales/Service,3High,Owner,South,1,I
Y,F,4. Grad,171740,5_<=55,Y,C,,Y,Sales/Service,1Low,Owner,South,2,A
Y,M,3. Bach,477910,5_<=55,Y,C,Married,Y,Professional,3High,Owner,South,2,K
N,M,2. Some College,0,1_Unk,Y,E,Married,U,Sales/Service,1Low,Owner,Midwest,8,E
Y,M,3. Bach,35828,5_<=55,Y,B,Married,N,Professional,1Low,Owner,South,3,H
N,F,1. HS,281241,7_>65,N,D,,N,Retired,1Low,Owner,South,2,B
Y,F,2. Some College,154507,1_Unk,N,C,Married,Y,Sales/Service,1Low,Owner,South,7,E
Y,M,2. Some College,321168,4_<=45,Y,H,Married,Y,Professional,2Med,Owner,West,1,G
Y,M,1. HS,0,1_Unk,N,G,Single,U,Sales/Service,1Low,Renter,South,9,D
N,M,1. HS,0,1_Unk,N,J,Married,Y,Blue Collar,1Low,Owner,South,9,D
Y,F,1. HS,0,6_<=65,Y,E,Married,N,Professional,1Low,Owner,Midwest,5,E
N,F,1. HS,250514,7_>65,Y,B,,Y,Retired,1Low,Owner,Midwest,2,G
Y,M,2. Some College,221163,4_<=45,Y,C,Married,Y,Professional,2Med,Owner,South,1,F
Y,M,2. Some College,339469,5_<=55,Y,C,Married,Y,Sales/Service,1Low,Owner,Midwest,4,H
Y,F,3. Bach,119900,6_<=65,Y,F,,N,Sales/Service,1Low,Owner,Northeast,1,C
Y,M,4. Grad,1795745,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,Northeast,2,I
N,F,2. Some College,112706,2_<=25,Y,E,Married,N,Professional,1Low,Owner,South,4,E
Y,M,4. Grad,486183,3_<=35,N,C,Married,Y,Others,1Low,Owner,South,5,L
Y,F,2. Some College,139171,5_<=55,Y,E,Married,U,Professional,1Low,Owner,South,6,E
Y,M,2. Some College,406046,2_<=25,N,B,,N,Sales/Service,1Low,Owner,South,1,F
N,F,0. <HS,0,4_<=45,Y,E,Married,U,Sales/Service,1Low,Owner,Northeast,3,G
Y,M,1. HS,351339,5_<=55,N,B,,Y,Professional,2Med,Owner,South,1,H
Y,F,0. <HS,163194,1_Unk,N,E,,U,Others,1Low,Owner,South,8,F
Y,F,4. Grad,696313,6_<=65,Y,B,Married,N,Professional,3High,Owner,South,1,K
Y,F,3. Bach,1817302,7_>65,Y,C,Married,Y,Retired,3High,Owner,South,1,L
Y,F,1. HS,520584,7_>65,Y,B,Married,N,Retired,1Low,Owner,West,2,J
Y,F,2. Some College,167659,3_<=35,Y,F,Single,U,Sales/Service,1Low,Owner,South,3,E
Y,F,2. Some College,224627,3_<=35,Y,E,,U,Professional,2Med,Owner,West,3,E
N,F,4. Grad,0,4_<=45,Y,D,,N,Professional,1Low,Owner,Northeast,2,A
N,F,2. Some College,165762,1_Unk,N,E,Married,Y,Sales/Service,1Low,Owner,South,8,E
N,M,2. Some College,109512,3_<=35,N,J,Married,Y,Blue Collar,1Low,Owner,Midwest,4,F
Y,M,2. Some College,129870,2_<=25,Y,E,,N,Sales/Service,1Low,Owner,Midwest,2,C
Y,M,3. Bach,233096,5_<=55,Y,F,Married,Y,Professional,3High,Owner,South,6,D
N,M,3. Bach,0,3_<=35,N,F,Single,U,Sales/Service,1Low,Renter,Midwest,4,G
N,F,4. Grad,513930,6_<=65,Y,B,Married,N,Professional,1Low,Owner,South,1,J
N,M,3. Bach,0,6_<=65,Y,J,Married,N,Others,1Low,Owner,Midwest,6,E
N,F,4. Grad,292959,3_<=35,Y,J,,Y,Blue Collar,1Low,Owner,South,1,A
Y,M,3. Bach,179336,1_Unk,Y,C,Married,U,Blue Collar,2Med,Owner,Northeast,3,E
N,F,2. Some College,0,4_<=45,Y,E,Married,U,Blue Collar,1Low,Owner,Northeast,3,D
Y,F,0. <HS,0,1_Unk,N,E,Single,Y,Sales/Service,1Low,Renter,West,9,D
Y,M,4. Grad,4137749,5_<=55,Y,C,Married,Y,Professional,1Low,Owner,West,3,G
Y,F,1. HS,267813,5_<=55,Y,C,Married,Y,Sales/Service,1Low,Owner,South,3,F
N,M,3. Bach,0,6_<=65,N,B,Married,N,Professional,1Low,Owner,West,8,K
N,U,2. Some College,0,1_Unk,N,G,Single,U,Blue Collar,1Low,,South,9,D
N,M,3. Bach,143313,4_<=45,N,G,Single,Y,Blue Collar,1Low,Renter,Northeast,2,F
N,M,2. Some College,198380,4_<=45,N,F,,U,Blue Collar,1Low,Owner,West,8,E
Y,M,1. HS,672966,3_<=35,Y,B,Married,N,Blue Collar,1Low,Owner,South,3,G
N,M,2. Some College,275143,1_Unk,N,C,,Y,Blue Collar,1Low,,South,8,E
Y,M,2. Some College,1406754,5_<=55,Y,B,Married,Y,Professional,1Low,Owner,South,1,K
Y,F,2. Some College,179108,4_<=45,Y,G,Single,Y,Sales/Service,2Med,Owner,Midwest,4,D
N,M,1. HS,93195,6_<=65,Y,J,Married,N,Farm,1Low,Owner,Northeast,4,D
N,F,0. <HS,490500,3_<=35,N,B,,Y,Blue Collar,1Low,Owner,South,5,F
N,M,2. Some College,282961,2_<=25,Y,C,,Y,Professional,1Low,Renter,West,8,E
Y,M,2. Some College,124859,7_>65,N,I,,U,Retired,1Low,Owner,South,3,E
N,U,3. Bach,0,1_Unk,N,A,Single,N,Professional,1Low,Renter,Northeast,5,K
N,F,1. HS,219151,7_>65,Y,D,Married,N,Retired,1Low,Owner,Northeast,1,E
Y,M,3. Bach,285961,5_<=55,N,C,Married,Y,Professional,1Low,Renter,Midwest,1,F
Y,M,2. Some College,212751,6_<=65,Y,B,Married,U,Retired,2Med,Owner,South,1,F
N,M,,836532,1_Unk,N,A,Single,N,Professional,1Low,,South,5,J
Y,M,2. Some College,492680,2_<=25,N,B,,N,Sales/Service,1Low,Owner,Northeast,1,E
N,F,3. Bach,0,6_<=65,N,G,,Y,Professional,1Low,Renter,West,2,D
Y,M,4. Grad,812268,6_<=65,Y,B,Married,Y,Professional,3High,Owner,West,1,L
N,M,2. Some College,108400,1_Unk,N,F,Married,N,Sales/Service,1Low,Owner,Midwest,5,G
N,M,4. Grad,284293,6_<=65,Y,C,Married,Y,Sales/Service,2Med,Owner,Northeast,2,I
N,M,0. <HS,0,7_>65,N,E,,N,Retired,1Low,Renter,Northeast,5,A
Y,M,4. Grad,616122,6_<=65,N,B,,N,Professional,3High,Owner,South,1,D
Y,M,4. Grad,0,6_<=65,Y,G,,N,Professional,1Low,Owner,South,3,A
Y,M,0. <HS,281808,4_<=45,Y,I,,N,Blue Collar,1Low,Owner,Northeast,3,F
N,U,3. Bach,253098,2_<=25,N,E,Single,U,Others,1Low,,West,4,B
N,M,4. Grad,0,1_Unk,N,G,Single,U,Sales/Service,1Low,,Northeast,9,F
N,F,2. Some College,0,4_<=45,N,I,Married,Y,Blue Collar,1Low,Owner,South,5,A
Y,M,3. Bach,207856,6_<=65,Y,E,Married,N,Professional,1Low,Owner,South,1,I
N,M,2. Some College,987343,6_<=65,Y,C,Married,Y,Professional,3High,Owner,West,1,F
Y,M,0. <HS,203339,3_<=35,Y,E,Married,Y,Sales/Service,1Low,Owner,Northeast,7,F
N,M,2. Some College,198181,1_Unk,N,G,,U,Sales/Service,1Low,Renter,South,8,E
N,F,1. HS,0,4_<=45,N,F,Single,Y,Sales/Service,1Low,,Midwest,8,C
Y,M,2. Some College,412477,3_<=35,Y,B,,Y,Professional,1Low,Owner,Northeast,1,G
Y,M,2. Some College,692150,2_<=25,Y,C,,Y,Professional,3High,Owner,Northeast,1,K
N,M,1. HS,25636,5_<=55,Y,D,Married,N,Sales/Service,1Low,Owner,Midwest,3,E
N,F,3. Bach,475240,4_<=45,Y,C,Married,Y,Professional,3High,Owner,Northeast,4,H
N,M,2. Some College,210152,4_<=45,Y,E,Married,Y,Blue Collar,2Med,Owner,West,6,E
N,F,2. Some College,0,3_<=35,N,F,Married,Y,Others,1Low,,South,1,F
Y,M,1. HS,93195,3_<=35,N,F,Single,Y,Blue Collar,1Low,Owner,Midwest,2,F
Y,F,1. HS,48559,1_Unk,N,F,Married,Y,Sales/Service,1Low,,Midwest,9,B
Y,M,1. HS,184428,1_Unk,Y,E,Married,U,Blue Collar,1Low,,Northeast,8,E
Y,M,3. Bach,745363,4_<=45,Y,C,Married,Y,Professional,3High,Owner,West,1,J
Y,M,3. Bach,405916,6_<=65,Y,B,Married,N,Sales/Service,1Low,Owner,West,1,F
N,M,2. Some College,514828,2_<=25,Y,E,,N,Others,2Med,Owner,Northeast,2,G
N,F,1. HS,0,1_Unk,N,E,Single,U,Sales/Service,1Low,Renter,Midwest,9,D
Y,M,0. <HS,159924,1_Unk,Y,E,,Y,Sales/Service,2Med,Owner,South,3,E
N,M,3. Bach,0,4_<=45,N,G,Single,U,Blue Collar,1Low,,South,6,B
N,F,1. HS,296480,1_Unk,Y,C,,Y,Sales/Service,1Low,Owner,South,8,F
N,F,1. HS,345213,6_<=65,Y,I,,N,Others,1Low,Owner,West,5,G
Y,F,1. HS,379211,3_<=35,N,E,Married,Y,Sales/Service,1Low,,West,8,F
N,F,3. Bach,893800,4_<=45,Y,B,Married,Y,Sales/Service,3High,Owner,West,2,J
Y,F,1. HS,2789037,5_<=55,Y,B,,Y,Professional,3High,Owner,West,1,J
N,M,1. HS,0,5_<=55,Y,C,Married,U,Blue Collar,1Low,Owner,West,2,F
Y,M,4. Grad,0,3_<=35,N,E,Married,Y,Sales/Service,1Low,Owner,Midwest,4,D
N,F,4. Grad,0,1_Unk,N,G,Married,U,Sales/Service,1Low,Renter,Northeast,9,F
N,F,,683920,3_<=35,Y,B,Married,N,Professional,2Med,Owner,West,1,E
N,F,2. Some College,0,1_Unk,Y,G,Single,N,Sales/Service,1Low,Renter,West,9,E
Y,M,3. Bach,237881,6_<=65,Y,I,Married,N,Sales/Service,1Low,Owner,South,2,F
Y,M,3. Bach,665280,1_Unk,Y,B,Married,U,Blue Collar,1Low,Owner,Northeast,4,G
Y,M,2. Some College,334383,1_Unk,Y,C,,Y,Sales/Service,1Low,,Midwest,1,F
N,U,0. <HS,269644,7_>65,Y,D,,N,Retired,1Low,Owner,South,3,A
N,M,3. Bach,117829,4_<=45,N,F,,U,Professional,1Low,Owner,South,2,D
Y,M,3. Bach,1264639,5_<=55,Y,B,Married,N,Professional,3High,Owner,South,1,L
N,F,0. <HS,0,1_Unk,Y,G,,U,Sales/Service,1Low,Renter,South,9,C
N,F,2. Some College,96320,4_<=45,Y,G,Single,Y,Sales/Service,1Low,Renter,Northeast,3,B
N,M,4. Grad,218523,1_Unk,Y,D,,N,Retired,1Low,Owner,South,5,H
Y,F,4. Grad,171173,3_<=35,Y,D,,N,Blue Collar,1Low,Owner,South,4,E
Y,M,3. Bach,0,5_<=55,N,A,Single,Y,Professional,1Low,Renter,Northeast,2,F
Y,F,2. Some College,0,4_<=45,Y,A,Married,U,Professional,1Low,,South,2,E
Y,M,2. Some College,763763,5_<=55,Y,C,Married,Y,Professional,3High,Owner,South,1,G
N,F,2. Some College,109872,2_<=25,Y,E,,N,Blue Collar,1Low,Owner,South,8,D
N,F,1. HS,112213,6_<=65,Y,E,,N,Sales/Service,1Low,Owner,South,2,E
Y,U,4. Grad,633726,1_Unk,Y,B,Married,U,Professional,3High,Owner,West,5,K
N,F,1. HS,0,6_<=65,Y,F,Married,Y,Sales/Service,1Low,Renter,Midwest,6,D
N,F,3. Bach,557208,5_<=55,Y,C,Married,Y,Professional,2Med,Owner,South,1,K
Y,F,4. Grad,733788,6_<=65,Y,B,Married,N,Professional,3High,Owner,South,1,I
N,M,1. HS,493225,5_<=55,N,E,Married,N,Blue Collar,1Low,Owner,Northeast,2,D
Y,M,3. Bach,0,4_<=45,N,E,Single,U,Sales/Service,1Low,,Midwest,5,A
N,F,0. <HS,282240,4_<=45,N,F,Married,U,Blue Collar,1Low,Owner,South,8,C
Y,M,2. Some College,250969,4_<=45,Y,C,Married,Y,Professional,2Med,Owner,South,1,H
Y,F,4. Grad,408750,3_<=35,Y,C,Married,Y,Professional,1Low,Owner,Northeast,1,K
Y,M,4. Grad,425819,6_<=65,Y,B,Married,N,Professional,1Low,Owner,Midwest,2,F
Y,M,3. Bach,264608,3_<=35,Y,B,,U,Others,1Low,Owner,West,6,E
N,U,0. <HS,0,1_Unk,N,G,Single,Y,Sales/Service,1Low,Renter,West,9,H
Y,M,2. Some College,295608,5_<=55,N,B,Married,Y,Professional,3High,Owner,South,2,G
Y,M,3. Bach,601925,4_<=45,Y,C,Married,Y,Sales/Service,1Low,Owner,Northeast,1,K
Y,M,2. Some College,86982,7_>65,N,C,Married,Y,Retired,2Med,Owner,West,1,L
Y,M,1. HS,382306,4_<=45,Y,E,,N,Professional,3High,Owner,West,3,F
Y,M,2. Some College,613125,4_<=45,Y,C,Married,Y,Professional,3High,Owner,South,1,J
Y,U,4. Grad,589472,1_Unk,Y,E,Married,Y,Sales/Service,3High,Owner,Northeast,1,F
N,F,2. Some College,164219,1_Unk,Y,D,,N,Others,1Low,Owner,South,4,C
N,M,3. Bach,208626,7_>65,Y,F,,N,Retired,1Low,Owner,Midwest,2,F
N,M,1. HS,134400,4_<=45,N,J,Married,Y,Blue Collar,1Low,Owner,South,7,D
N,U,3. Bach,292032,4_<=45,N,C,,U,Professional,2Med,Owner,Northeast,1,I
Y,F,2. Some College,507231,6_<=65,Y,B,Married,N,Professional,1Low,Owner,Midwest,1,J
N,F,1. HS,152839,7_>65,Y,I,,N,Retired,1Low,Owner,Midwest,3,C
N,F,1. HS,176209,4_<=45,Y,J,Married,Y,Blue Collar,1Low,Owner,South,4,A
N,U,2. Some College,288850,1_Unk,Y,C,Married,Y,Professional,1Low,Owner,South,5,B
Y,M,1. HS,243353,1_Unk,Y,C,,Y,Professional,1Low,Owner,Midwest,8,F
Y,M,2. Some College,215427,4_<=45,N,B,Married,Y,Blue Collar,2Med,Owner,Midwest,3,E
Y,M,2. Some College,151670,4_<=45,Y,C,Married,Y,Professional,1Low,,Midwest,2,E
N,M,1. HS,26064,5_<=55,Y,E,,Y,Retired,1Low,Owner,Midwest,7,E
