宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裤长,服装版型,组合形式,穿着方式,衣长,裙长,领型,袖型,衣门襟,裙型,成分含量,服装款式细节
妈妈夏装两件套 中老年人短袖七分裤套装2017夏季新款40-50岁衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1NSr6QXXXXXbXaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549626529759&ns=1&abbucket=0,79.00,4528人付款,江苏 苏州,DF888 ,东方鸿偌 ,薄 ,其他 ,2017年夏季 ,民族风 ,花鸟图案 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,,常规 ,,,96%及以上 ,
母亲节中老年女装夏季宽松短袖T恤衫两件套40-50岁妈妈装夏装套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1Dhh5QpXXXXaKaXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547738491598&ns=1&abbucket=0#detail,29.90,4203人付款,上海,0133,,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,七分裤,修身,两件套,套头,常规,,圆领,,,,,
中老年人女装夏装套装妈妈两件套老人衣服奶奶装50-60-70岁母亲节,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1V8uOQVXXXXbNaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549641308905&ns=1&abbucket=0,99.00,5217人付款,江苏 苏州,BNX17X239 ,倍暖祥 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花鸟图案 ,50-59周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,褶皱 
老人夏装套装60-70岁中老年人女装短袖 奶奶衣服妈妈上衣夏季衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1ViCMQVXXXXc.XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546841800869&ns=1&abbucket=0,128.00,5988人付款,浙江 金华,T-17017 ,大唐夫人 ,适中 ,聚酯 ,2017年春季 ,福态 ,花色 ,60周岁以上 ,,宽松 ,两件套 ,开衫 ,常规 ,,其他 ,,单排扣 ,,96%及以上 ,纽扣 
母亲节衣服妈妈装夏装两件套装中年40-50岁短袖T恤上衣中老年女装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1V56iQpXXXXb_XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=532127709935&ns=1&abbucket=0,79.00,4938人付款,江苏 苏州,YSB16C928 ,衣是宝 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,中长款 ,,V领 ,常规 ,,,96%及以上 ,
母亲节衣服妈妈夏装套装中老年人女装短袖两件套奶奶春装宽松上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1CmiAQFXXXXXIXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546202035161&ns=1&abbucket=0,89.00,5614人付款,江苏 苏州,HJXMTQ1831 ,荟娟 ,适中 ,亚麻 ,2017年夏季 ,休闲 ,花鸟图案 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,30%及以下 ,纽扣 
母亲节衣服夏季40岁妈妈夏装中年女雪纺衫中老年女装裤子两件套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1JGYfQVXXXXX6apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549452850544&ns=1&abbucket=0,158.00,7055人付款,浙江 杭州,P722615G0 ,胖织缘福 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,纯色 ,40-49周岁 ,长裤 ,直筒 ,两件套 ,套头 ,常规 ,,圆领 ,,,,96%及以上 ,
母亲节衣服中老年女夏装夏季新款短袖妈妈装两件套装T恤40-50大码,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/118643690/TB2bxRFjNRDOuFjSZFzXXcIipXa_!!118643690.jpg,https://item.taobao.com/item.htm?id=547474464492&ns=1&abbucket=0#detail,69.00,4970人付款,江苏 苏州,BYM1703XS2412,棒约美,适中,聚酯,2017年夏季,时尚,抽象图案,40-49周岁,,宽松,单件,套头,常规,,V领,常规,,,,
妈妈装夏装套装中老年人女士唐装短袖两件套老人衣服奶奶60-70岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1MZzyJVXXXXadXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=532054196983&ns=1&abbucket=0,118.00,5264人付款,浙江 嘉兴,CBZa0082016 ,CABENZIOE/卡贝姿 ,薄 ,其他 ,2016年夏季 ,民族风 ,复古图案 ,60周岁以上 ,长裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,绣花 
香颜妈妈装春装连衣裙中老年女装夏装两件套雪纺衫中年套装裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB16FwrQVXXXXaVXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547604420153&ns=1&abbucket=0,139.00,8710人付款,浙江 嘉兴,XYZG0888-1 ,香颜 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,其他 ,40-49周岁 ,,宽松 ,两件套 ,开衫 ,中长款 ,中长款 ,其他 ,常规 ,单排扣 ,,96%及以上 ,纽扣 
中老年女装两件套大码妈妈装雪纺短袖T恤中年时尚阔腿裤夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1044842342/TB2aLRFmrplpuFjSspiXXcdfFXa_!!1044842342.jpg,https://item.taobao.com/item.htm?id=547429883657&ns=1&abbucket=0#detail,65.00,3593人付款,江苏 苏州,,other/其他,薄,雪纺,2017年夏季,时尚,大花,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,81%(含)-90%(含),口袋
艾雀妈妈夏装两件套中老年女装时尚短袖中年40岁50宽松阔腿裤套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1XBehQVXXXXXLXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548571587544&ns=1&abbucket=0,88.00,4371人付款,江苏 苏州,MZ3008 ,艾雀 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,七分裤 ,直筒 ,两件套 ,套头 ,常规 ,,一字领 ,常规 ,,,96%及以上 ,
母亲节中老年女装运动服套装中年妈妈春装外套40岁50衣服2017新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1LibJRXXXXXbnaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=537805859665&ns=1&abbucket=0,168.00,7119人付款,湖北 武汉,J16021 ,欧芮嘉 ,适中 ,棉 ,2016年秋季 ,运动 ,纯色 ,50-59周岁 ,长裤 ,宽松 ,三件套 ,开衫 ,常规 ,,立领 ,,拉链 ,,51%(含)-70%(含) ,拉链 
母亲节妈妈夏装T恤40-50岁30中老年女装两件套装中年人春夏季衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1AsBJQVXXXXXeXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547194673655&ns=1&abbucket=0,98.00,5987人付款,浙江 嘉兴,smt/2017791 ,苏米唐 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,半开领 ,泡泡袖 ,,,96%及以上 ,
中老年妈妈装夏装短袖短裤套装40岁50中年女装大码两件套老人衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1v15OQXXXXXcwaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546957036549&ns=1&abbucket=0,138.00,6154人付款,湖北 武汉,abl-ASTS1668 ,阿贝莉 ,薄 ,棉 ,2017年夏季 ,运动 ,花色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,,常规 ,,,81%(含)-90%(含) ,口袋 
2017中年妈妈装夏装套装中老年女装短袖T恤裤子哈伦裤大码两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1LNzKPVXXXXceaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529089171361&ns=1&abbucket=0,69.00,5092人付款,江苏 苏州,GDFH3206 ,歌迪凤凰 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,九分裤 ,,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,91%(含)-95%(含) ,镶钻 
中老年人女装夏装套装60-70-80岁奶奶装短袖老太太夏季衣服妈妈装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1805950047/TB2dsdeikqvpuFjSZFhXXaOgXXa_!!1805950047.jpg,https://item.taobao.com/item.htm?id=546335243930&ns=1&abbucket=0#detail,38.00,3137人付款,江苏 苏州,,,薄,其他,"2017年春季,2017年夏季",民族风,复古图案,60周岁以上,长裤,宽松,两件套,开衫,短款,,圆领,常规,单排扣,,,绣花
2017新款妈妈装夏装短袖t恤宽松上衣40-50岁中老年人女装两件套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB15IXwQpXXXXXIXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546124068602&ns=1&abbucket=0,69.00,5367人付款,江苏 苏州,OLY-BD1958-1833 ,欧力羽 ,薄 ,聚酯 ,2017年春季 ,时尚 ,花鸟图案 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,圆领 ,蝙蝠袖 ,,,96%及以上 ,
中年妈妈装女装夏装短袖t恤中老年两件套装上衣雪纺衫40-50岁衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1880361236/TB2TzYInd4opuFjSZFLXXX8mXXa_!!1880361236.jpg,https://item.taobao.com/item.htm?id=547022745918&ns=1&abbucket=0#detail,58.00,5746人付款,江苏 苏州,9999,,薄,雪纺,2017年夏季,时尚,纯色,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,其他,,,,绣花
老人夏装套装60岁中老年人女装奶奶春装短袖衣服妈妈70夏季两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1uQnOQVXXXXaHXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545377199249&ns=1&abbucket=0,99.00,4641人付款,浙江 金华,T-17002 ,大唐夫人 ,适中 ,聚酯 ,2017年春季 ,朴实 ,花色 ,50-59周岁 ,,宽松 ,单件 ,开衫 ,常规 ,,其他 ,常规 ,单排扣 ,,91%(含)-95%(含) ,纽扣 
母亲节中老年女装九分裤夏装妈妈短袖套装60-70-80岁老年人两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1786694105/TB2oOKapm0mpuFjSZPiXXbssVXa_!!1786694105.jpg,https://item.taobao.com/item.htm?id=546564032724&ns=1&abbucket=0#detail,29.00,2463人付款,江苏 苏州,,,薄,聚酯,2017年夏季,通勤,花色,50-59周岁,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,,
妈妈装夏装套装40-50岁2017新款上衣中年女装短袖T恤中老年雪纺衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1WdT8QFXXXXXjXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547474166684&ns=1&abbucket=0,69.12,6582人付款,江苏 苏州,SYMR-YX-002 ,索颜美人 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,,宽松 ,,套头 ,常规 ,,V领 ,常规 ,,,96%及以上 ,
妈妈装夏装套装短袖中年人大码40-50岁中老年女装T恤雪纺衫两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/283013541/TB2MeK1pHlmpuFjSZFlXXbdQXXa_!!283013541.jpg,https://item.taobao.com/item.htm?id=545563300249&ns=1&abbucket=0#detail,39.80,5542人付款,江苏 苏州,,,薄,"雪纺,蕾丝",2017年夏季,时尚,纯色,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,镂空
中老年女装夏装短袖老年人上衣60-70岁两件套新款妈妈装棉麻套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1682768129/TB220Awl9BjpuFjy1XdXXaooVXa_!!1682768129.jpg,https://item.taobao.com/item.htm?id=528293522907&ns=1&abbucket=0#detail,39.00,3960人付款,江苏 苏州,,自主品牌,薄,棉麻,2016年夏季,民族风,大花,60周岁以上,九分裤,宽松,两件套,套头,中长款,,V领,常规,,,96%及以上,绣花
中年妈妈装夏装雪纺衫30中老年女装t恤中袖打底衫40-50岁上衣套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1HZo2QpXXXXcTXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548327808988&ns=1&abbucket=0,79.00,5394人付款,江苏 苏州,40HHY193904 ,花惠羽 ,薄 ,其他 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,荷叶袖 ,,,96%及以上 ,褶皱 
妈妈春装外套40-50岁2017新款两件套装夏季上衣中年女夏装连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1ri9TQVXXXXchXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544969878274&ns=1&abbucket=0,88.00,4789人付款,浙江 杭州,8261 ,若澜锦蒂 ,适中 ,其他 ,2017年春季 ,时尚 ,碎花 ,40-49周岁 ,,宽松 ,两件套 ,,中长款 ,中长款 ,圆领 ,常规 ,单排扣 ,包臀裙 ,96%及以上 ,纽扣 
母亲节衣服夏季中老年女装夏装套装40-50岁妈妈装中年妇女短袖t恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB143_JQVXXXXaDXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548650283793&ns=1&abbucket=0,118.00,5862人付款,浙江 嘉兴,ADQZ8625 ,DUOYEREE/朵莹 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,七分裤 ,修身 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,
中老年女装短袖胖妈妈夏装套装宽松大码绣花两件套民族风棉麻套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1670385316/TB222G.n80kpuFjSsppXXcGTXXa_!!1670385316.jpg,https://item.taobao.com/item.htm?id=529120145994&ns=1&abbucket=0#detail,79.00,4209人付款,江苏 苏州,BH-16-026,Hoibeti/红白缇,适中,"涤纶,棉",2017年夏季,时尚,纯色,40-49周岁,七分裤,宽松,两件套,套头,常规,,V领,常规,,,96%及以上,绣花
中老年妈妈装套装女夏装 40-50岁中年女装睡衣两件套短袖上衣裤子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1801852428/TB2kGUehbxmpuFjSZJiXXXauVXa_!!1801852428.jpg,https://item.taobao.com/item.htm?id=545978010317&ns=1&abbucket=0#detail,29.90,5099人付款,浙江 嘉兴,A15000,,薄,"聚酯,涤纶",2017年夏季,知性,花色,,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,,褶皱
妈妈装夏装短袖套装老年人夏装套装上衣裤子中年女装休闲服装宽松,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1N_Y3PVXXXXayapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546030786268&ns=1&abbucket=0,79.00,4960人付款,江苏 苏州,NDJ17B200 ,La Dirregy/纳笛佳 ,薄 ,其他 ,2017年夏季 ,居家 ,花鸟图案 ,50-59周岁 ,,宽松 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,纽扣 
中老年人女装短袖套装60-70岁奶奶装唐装老人衣服妈妈夏装两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/703744623/TB2QrEonrxmpuFjSZJiXXXauVXa_!!703744623.jpg,https://item.taobao.com/item.htm?id=548419250721&ns=1&abbucket=0#detail,89.00,3900人付款,福建 南平,llb-s10,,薄,"聚酯,棉,其他",2017年夏季,民族风,纯色,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,,绣花
天天特价中老年女装套装妈妈夏季衣服装短袖女60岁70老人80奶奶装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1n7ROQXXXXXalapXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546825937422&ns=1&abbucket=0#detail,17.80,2657人付款,江苏 无锡,01,other,薄,其他,2017年夏季,休闲,花色,60周岁以上,九分裤,宽松,两件套,套头,常规,,圆领,常规,,,96%及以上,纽扣
母亲节衣服中老年女装春装40-50岁妈妈装夏装套装中年妇女短袖t恤,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1oWbqQVXXXXXnXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549297288241&ns=1&abbucket=0,129.00,6182人付款,浙江 嘉兴,BDQSYRA13 ,DUOYEREE/朵莹 ,薄 ,聚酯 ,2017年夏季 ,知性 ,条纹 ,40-49周岁 ,七分裤 ,宽松 ,两件套 ,套头 ,常规 ,,,喇叭袖 ,,,91%(含)-95%(含) ,
中老年女装夏季中长款雪纺两件套连衣裙大码妈妈装套装裙40-50岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB19p2pQFXXXXcnaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546295314746&ns=1&abbucket=0,158.00,7185人付款,湖北 武汉,170302ZS08 ,ZSYF/在水伊芳 ,适中 ,聚酯 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,中长款 ,中裙 ,圆领 ,常规 ,,,91%(含)-95%(含) ,纱网 
中老年女装大码母亲节衣服中年女夏装裤子妈妈装两件套装雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1RmHzQFXXXXcAaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547492847004&ns=1&abbucket=0,139.00,5153人付款,浙江 杭州,P712274T1a ,胖织缘福 ,适中 ,聚酯 ,2017年春季 ,时尚 ,格子 ,40-49周岁 ,,宽松 ,假两件 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,镂空 
中老年女装夏装T恤宽松大码胖妈妈装套装中长款衬衫春季40-50岁上,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/118643690/TB2Z9dznJ0opuFjSZFxXXaDNVXa_!!118643690.jpg,https://item.taobao.com/item.htm?id=529053521981&ns=1&abbucket=0#detail,79.00,5206人付款,北京,BYM1603XT3002,棒约美,薄,"雪纺,聚酯,其他","2017年春季,2017年夏季",时尚,抽象图案,40-49周岁,,宽松,单件,套头,中长款,,立领,常规,,,71%(含)-80%(含),
中老年女装短袖T恤套装春装打底衫T恤长袖中年妈妈装上衣宽松上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1618508010/TB2Z5n2j0hvOuFjSZFBXXcZgFXa_!!1618508010.jpg,https://item.taobao.com/item.htm?id=543434069751&ns=1&abbucket=0#detail,19.90,4762人付款,江苏 苏州,,,适中,,2017年春季,知性,,50-59周岁,,宽松,单件,套头,常规,,圆领,泡泡袖,,,,
妈妈夏装套装50-60岁时尚宽松 中老年女棉麻短袖上衣七分裤两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/390579613/TB2jrCpma8lpuFjy0FpXXaGrpXa_!!390579613.jpg,https://item.taobao.com/item.htm?id=549001387802&ns=1&abbucket=0#detail,69.00,3817人付款,江苏 苏州,LR-2017-0034,,薄,"棉麻,其他",2017年夏季,时尚,花鸟图案,50-59周岁,七分裤,宽松,两件套,套头,常规,,圆领,常规,,,91%(含)-95%(含),绣花
中老年女装夏装套装40-50岁中年女妈妈装夏季短袖t恤休闲运动套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2659332984/TB25Bp8guJ8puFjy1XbXXagqVXa_!!2659332984.jpg,https://item.taobao.com/item.htm?id=545364674114&ns=1&abbucket=0#detail,49.00,4233人付款,江苏 苏州,B288,,,"棉,其他",2017年春季,休闲,其他,40-49周岁,七分裤,宽松,两件套,套头,常规,,圆领,,,,96%及以上,
中老年人女装夏装 t恤60-70岁 老人衣服女夏短袖 奶奶装夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2820789655/TB29qKNprxmpuFjSZJiXXXauVXa_!!2820789655.jpg,https://item.taobao.com/item.htm?id=549079822314&ns=1&abbucket=0#detail,49.00,2846人付款,浙江 杭州,,other/其他,适中,聚酯,2017年夏季,福态,花鸟图案,60周岁以上,九分裤,宽松,两件套,开衫,常规,,圆领,常规,单排扣,,,
中老年女装夏装套装上衣短袖棉麻T恤两件套大码中年妈妈装宽松,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1618508010/TB2bD9VngJkpuFjSszcXXXfsFXa_!!1618508010.jpg,https://item.taobao.com/item.htm?id=546465584951&ns=1&abbucket=0#detail,19.00,3434人付款,江苏 苏州,,,薄,,2017年夏季,时尚,花色,50-59周岁,,宽松,单件,套头,常规,,其他,常规,,,,
中老年女装夏装雪纺衫两件套装40-50岁妈妈装2017夏季新款连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1hhwJQFXXXXbqXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549266487337&ns=1&abbucket=0,168.00,5953人付款,江苏 苏州,C-F-YSM1785 ,芬典 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,,宽松 ,两件套 ,套头 ,中长款 ,中长款 ,圆领 ,常规 ,,,96%及以上 ,腰带 
乐洋纯中老年女装夏装母亲节套装4050岁妈妈装短袖上衣裤子两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1KhP7QVXXXXaCXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549484425032&ns=1&abbucket=0,69.00,6977人付款,浙江 嘉兴,L17BZ1-SJTB8811 ,LEJOCHEN/乐洋纯 ,薄 ,其他 ,2017年夏季 ,休闲 ,碎花 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,圆领 ,常规 ,一粒扣 ,,96%及以上 ,纽扣 
香颜妈妈装春装两件套雪纺衫中老年女装夏装七分袖上衣2017新套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1NPRUQVXXXXXAXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548328294629&ns=1&abbucket=0,158.00,6272人付款,浙江 嘉兴,XYCHCX701 ,香颜 ,适中 ,其他 ,2017年夏季 ,时尚 ,大花 ,40-49周岁 ,,修身 ,两件套 ,套头 ,常规 ,,圆领 ,常规 ,,,96%及以上 ,绣花 
母亲节衣服套装夏季中老年人女装夏装妈妈短袖老人奶奶60-70-80岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1cQwLQVXXXXXYXVXXXXXXXXXX_!!2-item_pic.png,https://detail.tmall.com/item.htm?id=548253308831&ns=1&abbucket=0,108.00,3975人付款,江苏 苏州,1875-10 ,慈母恋 ,薄 ,其他 ,2017年夏季 ,福态 ,花色 ,60周岁以上 ,九分裤 ,宽松 ,两件套 ,开衫 ,常规 ,,圆领 ,常规 ,单排扣 ,,96%及以上 ,绣花 
中老年女装春夏装套装短袖T恤妈妈装长袖蕾丝连衣裙40-50岁两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2507541929/TB2Hqdyl04opuFjSZFLXXX8mXXa_!!2507541929.jpg,https://item.taobao.com/item.htm?id=546030088044&ns=1&abbucket=0#detail,69.00,6501人付款,江苏 苏州,,,,"蕾丝,聚酯","2017年春季,2017年夏季",时尚,动物图案,40-49周岁,,宽松,单件,套头,中长款,,POLO领,常规,,,,
母亲节衣服夏季妈妈装夏装中袖套装中年女雪纺衫T恤中老年人衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1vSHORXXXXXaRXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547692595375&ns=1&abbucket=0,68.00,4032人付款,江苏 苏州,BY898881 ,冰盈 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,,宽松 ,单件 ,套头 ,中长款 ,,V领 ,常规 ,三粒扣 ,,96%及以上 ,纽扣 
中老年女装中袖春夏装套装妈妈装T恤上衣+裤子中年人打底衫两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2132824876/TB2zM.ThNBmpuFjSZFsXXcXpFXa_!!2132824876.jpg,https://item.taobao.com/item.htm?id=546193962601&ns=1&abbucket=0#detail,49.90,3775人付款,江苏 苏州,,,,"聚酯,其他","2017年春季,2017年夏季",时尚,其他,40-49周岁,长裤,修身,两件套,套头,常规,,,常规,,,,
妈妈装时尚夏装上衣中年女T恤短袖女装40-50岁母亲节衣服夏季套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1UIjfQXXXXXabaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546355655422&ns=1&abbucket=0,108.00,5816人付款,浙江 嘉兴,QBE-JCC8817 ,千百恩 ,薄 ,其他 ,2017年夏季 ,通勤 ,格子 ,40-49周岁 ,,宽松 ,单件 ,套头 ,常规 ,,半开领 ,常规 ,,,96%及以上 ,纽扣 
妈妈夏装两件套 中老年女装大码宽松刺绣套装40-50岁中年妇女夏季,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2450111128/TB2SlGZoXXXXXbhXpXXXXXXXXXX_!!2450111128.jpg,https://item.taobao.com/item.htm?id=529643901225&ns=1&abbucket=0#detail,128.00,6439人付款,北京,W608,红丹娜,薄,其他,2017年夏季,时尚,大花,40-49周岁,七分裤,宽松,两件套,套头,中长款,中长款,圆领,泡泡袖,,,,绣花
中老年女夏装t恤两件套中年妇女雪纺衫大码上衣潮40岁妈妈装套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1cfo5QFXXXXXjXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549336399236&ns=1&abbucket=0,158.00,6076人付款,浙江 嘉兴,JH17B58 ,简狐 ,,涤纶 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,九分裤 ,宽松 ,两件套 ,套头 ,常规 ,,V领 ,喇叭袖 ,,,96%及以上 ,
中年女装妈妈夏装套装2017新母亲节衣服套装40-50岁中老年雪纺衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1gvwQQVXXXXXRXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549169701446&ns=1&abbucket=0,138.00,4780人付款,江苏 无锡,BL-523 ,Binlvedo/宾伦度 ,,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,,宽松 ,两件套 ,,中长款 ,,圆领 ,常规 ,,,91%(含)-95%(含) ,
