宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
中老年夏装女款2017上衣大码妈妈装女衬衫中年女装棉麻中袖开衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/T1pxRjFmXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=45624769671&ns=1&abbucket=0#detail,39.00,725人付款,北京,JW,,薄,"棉,麻",2017年夏季,时尚,纯色,50-59周岁,修身,单件,开衫,常规,半开领,泡泡袖,单排扣,91%(含)-95%(含),纽扣
【天天特价】衬衣中年妈妈装七分袖衬衫老年纯棉衬衫上衣女夏装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1sI6EPpXXXXXbXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=544844792356&ns=1&abbucket=0#detail,49.00,685人付款,北京,,other/其他,,棉,2017年春季,通勤,,,修身,单件,开衫,常规,,,,,
中年妇女纯色衬衫大码女装夏装长袖衬衣宽松中老年妈妈装春装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/892608265/TB2mbuXqpXXXXaLXpXXXXXXXXXX_!!892608265.jpg,https://item.taobao.com/item.htm?id=533754672474&ns=1&abbucket=0#detail,29.00,285人付款,北京,JS-607,,薄,"聚酯,LYCRA莱卡",2017年夏季,休闲,纯色,40-49周岁,宽松,单件,开衫,中长款,POLO领,常规,单排扣,51%(含)-70%(含),纽扣
妈妈装春装雪纺衫衬衫30岁40中年女装上衣中老年衬衣2017新款夏装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB19S2IPXXXXXaFaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544526954247&ns=1&abbucket=0,98.00,1119人付款,浙江 嘉兴,MN-7015 ,浅恋 ,适中 ,聚酯 ,2017年春季 ,时尚 ,纯色 ,40-49周岁 ,宽松 ,假两件 ,套头 ,中长款 ,方领 ,常规 ,单排扣 ,96%及以上 ,镂空 
母亲节妈妈装新款中老年夏装真丝短袖T恤女装中年女蚕丝上衣衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1_Xt3QVXXXXbeXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549434773508&ns=1&abbucket=0,266.00,464人付款,浙江 嘉兴,17023 ,Famoushare/名兔 ,薄 ,蚕丝 ,2017年夏季 ,福态 ,花鸟图案 ,40-49周岁 ,直筒 ,单件 ,开衫 ,常规 ,POLO领 ,,,91%(含)-95%(含) ,纽扣 
中老年女装大码衬衫中年女装上衣40-50岁妈妈装夏装短袖T恤衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1svPTQFXXXXb9XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549026899416&ns=1&abbucket=0,68.00,1815人付款,北京,YQF1181-1 ,依绮菲 ,薄 ,LYCRA莱卡 ,2017年夏季 ,知性 ,,40-49周岁 ,修身 ,单件 ,套头 ,常规 ,圆领 ,常规 ,,30%及以下 ,
母亲节衣服夏季中老年妈妈装短袖衬衫2017新款中年女夏装雪纺t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1qtbwQVXXXXX.XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549599096647&ns=1&abbucket=0,159.00,506人付款,浙江 嘉兴,YOR-1666 ,丹丽特 ,薄 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,V领 ,常规 ,,96%及以上 ,口袋 
母亲节衣服中老年女装妈妈装夏装衬衫翻领短袖中年女装上衣T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2543159439/TB2kKcMkxdkpuFjy0FbXXaNnpXa_!!2543159439.jpg,https://item.taobao.com/item.htm?id=548040512983&ns=1&abbucket=0#detail,42.80,613人付款,江苏 苏州,,,薄,聚酯,2017年春季,休闲,花色,40-49周岁,宽松,单件,开衫,短款,V领,常规,,,绣花
中老年女装格子衬衫妈妈装夏装七分袖衬衣女纯棉中年女士中袖t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1QWZxQXXXXXcXXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547292888932&ns=1&abbucket=0,99.00,819人付款,浙江 杭州,A777 ,爱伊百领 ,薄 ,纯棉 ,2017年夏季 ,时尚 ,格子 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,口袋 
母亲节衣服夏季中老年女装衬衫奶奶装夏装短袖60-70岁妈妈装上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2020744564/TB2pDqCqYBnpuFjSZFGXXX51pXa_!!2020744564.jpg,https://item.taobao.com/item.htm?id=550059268792&ns=1&abbucket=0#detail,89.00,274人付款,北京,JW楠-40,other/其他,薄,雪纺,2017年夏季,休闲,纯色,50-59周岁,宽松,单件,开衫,短款,方领,常规,单排扣,96%及以上,绣花
妈妈夏装时尚套装宽松雪纺衬衫40岁50中年女夏季大码母亲节上衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1FaoaRXXXXXcvXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549604150490&ns=1&abbucket=0,97.00,601人付款,湖北 武汉,WSLM444 ,欧芮嘉 ,薄 ,聚酯 ,2017年夏季 ,休闲 ,花鸟图案 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,口袋 
中年女装夏装妈妈装中老年女装春装女长袖女衬衫唐装老年人女上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i6/TB1czEfQFXXXXchXXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=528561964076&ns=1&abbucket=0#detail,42.00,700人付款,北京,葫芦领衬衫,,薄,聚酯,2017年春季,时尚,花色,40-49周岁,宽松,单件,开衫,常规,其他,常规,单排扣,96%及以上,纽扣
中老年女装春装长袖衬衫上衣 40-50岁中年老年人妈妈装夏季衬衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/114444276/TB2gRgNazzyQeBjy0FeXXbwyFXa_!!114444276.jpg,https://item.taobao.com/item.htm?id=530382789168&ns=1&abbucket=0#detail,29.80,546人付款,北京,,,薄,"聚酯,LYCRA莱卡","2017年春季,2017年夏季",朴实,花色,40-49周岁,修身,单件,开衫,常规,POLO领,衬衫袖,单排扣,91%(含)-95%(含),纽扣
爱妈美绣花妈妈装夏装衬衫中老年女装七分袖衬衣老年人奶奶装8707,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1EB_DQpXXXXXXaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546920803545&ns=1&abbucket=0,139.00,877人付款,浙江 杭州,8707 ,爱妈美 ,适中 ,纯棉 ,2017年春季 ,知性 ,纯色 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,
妈妈装冰丝衬衫中老年女装4050岁衬衣T恤衫短袖上衣中年妇女夏装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1656511268/TB2JxjipOlnpuFjSZFgXXbi7FXa_!!1656511268.jpg,https://item.taobao.com/item.htm?id=547884692040&ns=1&abbucket=0#detail,11.90,463人付款,北京,,,薄,,2017年春季,时尚,,40-49周岁,宽松,,,,,,,,
中老年女装夏装短袖衬衫妈妈格子衬衫纯棉老年人衬衣女50岁t恤女,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1zBI9JVXXXXX6XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=532559102387&ns=1&abbucket=0,89.00,601人付款,浙江 杭州,A585 ,爱伊百领 ,薄 ,纯棉 ,2016年夏季 ,时尚 ,格子 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年女装春装新款衬衫妈妈装40-50岁中长款t恤中年人大码打底衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/835310283/TB23cs1cMJlpuFjSspjXXcT.pXa_!!835310283.jpg,https://item.taobao.com/item.htm?id=530658077345&ns=1&abbucket=0#detail,35.00,1356人付款,江苏 苏州,SU-3340,,厚,聚酯,2016年秋季,时尚,花色,50-59周岁,宽松,单件,套头,常规,V领,,,,纽扣
40-50岁妈妈装春装衬衫中老年女装长袖衬衣打底衫上衣服装夏装T恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1bLKpMVXXXXXvXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=537195331835&ns=1&abbucket=0,69.00,1022人付款,江苏 苏州,3456-28QT ,Kenny·Powell/肯尼·鲍尔 ,适中 ,聚酯 ,2016年秋季 ,时尚 ,碎花 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,方领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
中年女装春装雪纺衫中长款端庄长袖上衣妈妈装夏装t恤2017夏新款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/409657567/TB2KHCIo4XkpuFjy0FiXXbUfFXa_!!409657567.jpg,https://item.taobao.com/item.htm?id=548359943836&ns=1&abbucket=0#detail,158.00,1178人付款,浙江 嘉兴,702601,01,薄,其他,2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,POLO领,常规,三粒扣,96%及以上,纽扣
中老年人女装夏装衬衣套装60-70岁老人衣服加肥加大码奶奶装春装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1WZK5QVXXXXabXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549661028799&ns=1&abbucket=0,108.00,316人付款,江苏 苏州,X-0092 ,雀伊 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,60周岁以上 ,宽松 ,两件套 ,开衫 ,短款 ,圆领 ,衬衫袖 ,单排扣 ,96%及以上 ,口袋 
中老年女装春装长袖衬衫妈妈装40-50岁T恤上衣中年妇女打底衫夏装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/1088168545/TB2962sgY8kpuFjy0FcXXaUhpXa_!!1088168545.jpg,https://item.taobao.com/item.htm?id=546391742986&ns=1&abbucket=0#detail,26.50,51人付款,北京,801,七克拉服饰,适中,聚酯,2017年夏季,时尚,花色,40-49周岁,宽松,单件,开衫,常规,方领,常规,单排扣,91%(含)-95%(含),纽扣
中年雪纺衫妈妈装夏装套装母亲节短袖T恤衫中老年衬衫加大码女装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1EDGARXXXXXaRXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548602501538&ns=1&abbucket=0,99.00,563人付款,浙江 杭州,FH17XX185 ,芳华再燃 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,立领 ,,,91%(含)-95%(含) ,
妈妈装春夏装T恤宽松雪纺衬衫40-50岁中老年女装大码中袖上衣套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2771130152/TB2SyFHo0RopuFjSZFtXXcanpXa_!!2771130152.jpg,https://item.taobao.com/item.htm?id=547044778259&ns=1&abbucket=0#detail,59.00,505人付款,江苏 苏州,101,,适中,聚酯,2017年夏季,时尚,大花,40-49周岁,宽松,单件,套头,常规,圆领,常规,,,纽扣
老年人春装女60-70岁薄奶奶装夏装套装老太太衬衫80老人衣服长袖,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1kFqVQFXXXXbwapXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548973887501&ns=1&abbucket=0#detail,49.00,398人付款,江苏 苏州,,,薄,聚酯,"2017年夏季,2017年春季",休闲,花色,60周岁以上,宽松,两件套,开衫,常规,POLO领,常规,单排扣,,纽扣
妈妈装春季衬衫中年人宽松大码中长袖上衣中老年女装T恤夏装衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1681196876/TB2ennzgSBjpuFjy1XdXXaooVXa_!!1681196876.jpg,https://item.taobao.com/item.htm?id=546334827179&ns=1&abbucket=0#detail,49.60,978人付款,江苏 苏州,35366,,薄,聚酯,"2017年春季,2017年夏季",时尚,其他,40-49周岁,宽松,单件,套头,常规,POLO领,衬衫袖,单排扣,96%及以上,纽扣
母亲节中老年女装外套中年妈妈春装2017新款衣服牛仔上衣薄款衬衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1Wz8dQpXXXXXxXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=527568047916&ns=1&abbucket=0,118.00,845人付款,湖北 武汉,S16CS1206 ,SONMELLNY/尚曼妮 ,,棉 ,2016年春季 ,时尚 ,花色 ,40-49周岁 ,直筒 ,单件 ,开衫 ,常规 ,POLO领 ,衬衫袖 ,单排扣 ,81%(含)-90%(含) ,纽扣 
母亲节中年妈妈春装衬衫40-50岁中老年女装婚礼上衣奶奶夏装衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1iUvSPVXXXXXrXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546295354433&ns=1&abbucket=0,128.00,709人付款,浙江 嘉兴,smt/2017337 ,苏米唐 ,适中 ,其他 ,2017年夏季 ,知性 ,花色 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,V领 ,常规 ,单排扣 ,96%及以上 ,纽扣 
中老年女装夏装短袖t恤蕾丝衬衫妈妈装雪纺衫衬衣中长款大码上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1794738081/TB2.Vp2mHJkpuFjy1zcXXa5FFXa_!!1794738081.jpg,https://item.taobao.com/item.htm?id=537385846037&ns=1&abbucket=0#detail,55.00,823人付款,江苏 苏州,953,,适中,蕾丝,"2017年春季,2017年夏季",时尚,纯色,40-49周岁,宽松,单件,开衫,常规,半高领,常规,,96%及以上,纽扣
中老年人女装妈妈衬衫长袖2017春装新款50夏装60岁真丝宽松上衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/746761776/TB2JD2Ml4tmpuFjSZFqXXbHFpXa_!!746761776.jpg,https://item.taobao.com/item.htm?id=547848961893&ns=1&abbucket=0#detail,118.00,702人付款,浙江 嘉兴,HRS-2017F055,华秀睿斯,适中,,"2017年春季,2017年夏季",福态,花色,50-59周岁,宽松,单件,开衫,短款,方领,常规,单排扣,91%(含)-95%(含),钉珠
新款老年人春秋女装短款长袖套装奶奶装薄外套60-70-80岁衬衫上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2861997194/TB28_yYfNlmpuFjSZPfXXc9iXXa_!!2861997194.jpg,https://item.taobao.com/item.htm?id=545200751430&ns=1&abbucket=0#detail,68.80,670人付款,江苏 苏州,20017A001,,适中,聚酯,2017年春季,民族风,复古图案,60周岁以上,宽松,两件套,开衫,常规,立领,常规,单排扣,,
中老年女装春装T恤妈妈装打底衫长袖中年女春装大码40-50岁薄衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1_svzPVXXXXa8apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544576103401&ns=1&abbucket=0,69.00,728人付款,江苏 苏州,QDA-XN-1736D ,阿娘绣 ,适中 ,其他 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,立领 ,常规 ,,96%及以上 ,纽扣 
红曼裳2017新款妈妈装夏装衬衫60-70岁潮奶奶装短袖衬衣中老年女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1FIEKQFXXXXXoaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549248928842&ns=1&abbucket=0,98.00,452人付款,浙江 杭州,HMS17B4034 ,红曼裳 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,60周岁以上 ,修身 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
中年女装夏装雪纺衫宽松大码时尚中袖T恤30-50岁妈妈装套装打底衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1ylW1RXXXXXc3XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548892069847&ns=1&abbucket=0,89.00,576人付款,湖北 武汉,Q17BW298 ,Q．PARMOE/千百萌 ,适中 ,其他 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,常规 ,圆领 ,常规 ,,96%及以上 ,
中老年女装春装长袖衬衫老人上衣50-60岁妈妈装全棉衬衣服奶奶装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1Akx1QpXXXXboapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=521197026009&ns=1&abbucket=0,108.00,795人付款,湖北 武汉,MLYD2015CS372 ,曼丽依都 ,适中 ,纯棉 ,2015年秋季 ,休闲 ,碎花 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,绣花 
妈妈装春装衬衫中老年女装中年长袖雪纺夏装T恤40-50岁2017新款潮,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1tUSyQVXXXXaPXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546102802579&ns=1&abbucket=0,98.00,948人付款,江苏 苏州,YF-5009 ,雅芳红利 ,适中 ,聚酯 ,2017年春季 ,知性 ,纯色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,常规 ,方领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
中年妈妈装夏季雪纺套装中老年女装打底衫40-50岁V领衬衫上衣裤子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2638148098/TB2k5PrnYJkpuFjy1zcXXa5FFXa_!!2638148098.jpg,https://item.taobao.com/item.htm?id=548744990854&ns=1&abbucket=0#detail,49.90,229人付款,江苏 苏州,9938,常熟靓衣,适中,聚酯,2017年夏季,时尚,花鸟图案,40-49周岁,修身,两件套,套头,常规,,,,,
中老年夏装女衬衫母亲节40岁妈妈装春夏七分袖衬衣中年女夏装上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1EhFnRXXXXXXaXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529295495026&ns=1&abbucket=0,99.00,981人付款,江苏 苏州,C-C68861 ,Ystl/雅莎天丽 ,薄 ,聚酯 ,2016年夏季 ,时尚 ,花色 ,40-49周岁 ,直筒 ,单件 ,开衫 ,常规 ,POLO领 ,衬衫袖 ,单排扣 ,91%(含)-95%(含) ,纽扣 
妈妈装夏装打底衫九分袖中年大码女装雪纺衫胖mmT恤条纹衬衣翻领,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1BhMoPVXXXXXpaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546511706896&ns=1&abbucket=0#detail,69.00,778人付款,北京,,,,,2017年春季,时尚,条纹,,宽松,单件,套头,常规,立领,常规,,51%(含)-70%(含),
中老年衬衫女装长袖春装40-50岁老人衣服中年衬衣女妈妈夏装上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB14SaWRXXXXXXzXFXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=546842962691&ns=1&abbucket=0#detail,28.80,477人付款,北京,4108,other/其他,薄,聚酯,2017年春季,休闲,大花,40-49周岁,宽松,单件,开衫,常规,其他,常规,单排扣,96%及以上,纽扣
中老年女装春夏七分袖印花衬衫修身大码妈妈装中年t恤衫女上衣 薄,https://g-search1.alicdn.com/img/bao/uploaded/i4/i5/TB1QpUgPpXXXXcMXVXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=531597039412&ns=1&abbucket=0#detail,37.00,448人付款,北京,105款,other/其他,薄,"聚酯,其他",2017年春季,新潮,花色,40-49周岁,修身,单件,开衫,常规,POLO领,衬衫袖,单排扣,91%(含)-95%(含),纽扣
母亲节新款中老年女装春夏七分袖衬衫40-50岁中年妈妈装上衣T桖,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1f4.iQVXXXXaRaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=546564406043&ns=1&abbucket=0#detail,25.80,725人付款,北京,,,适中,,2017年夏季,时尚,碎花,,修身,单件,开衫,常规,,,单排扣,,
妈妈装真丝上衣短袖衬衣中老年女装桑蚕丝衬衫夏装翻领开衫短袖女,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2884990804/TB2lG9kholnpuFjSZFjXXXTaVXa_!!2884990804.jpg,https://item.taobao.com/item.htm?id=545890908779&ns=1&abbucket=0#detail,78.80,507人付款,浙江 嘉兴,,,薄,其他,"2017年春季,2017年夏季",时尚,其他,40-49周岁,宽松,单件,开衫,常规,POLO领,常规,单排扣,91%(含)-95%(含),纽扣
妈妈装春装衬衫女七分袖大码中老年女装衬衣夏装中年女装上衣纯棉,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1q7HwQpXXXXbyXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547870896519&ns=1&abbucket=0,119.00,699人付款,湖北 武汉,MLYD2017CS341 ,曼丽依都 ,薄 ,纯棉 ,2017年夏季 ,休闲 ,碎花 ,50-59周岁 ,宽松 ,单件 ,开衫 ,常规 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,口袋 
母亲节上衣服夏装新款中老年女短袖亚麻衬衫妈妈棉麻大码宽松衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB15zqeQFXXXXbSXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=529073103108&ns=1&abbucket=0,69.00,875人付款,北京,JG1184-1663 ,JINGLIY/景利缘 ,薄 ,棉 ,2016年夏季 ,通勤 ,纯色 ,40-49周岁 ,修身 ,单件 ,开衫 ,常规 ,其他 ,常规 ,单排扣 ,31%(含)-50%(含) ,纽扣 
妈妈春夏装长袖衬衣中老年人女装老人春装衣服奶奶装春秋单衣春天,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1X.UJQXXXXXX1apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545490360020&ns=1&abbucket=0,128.00,704人付款,浙江 金华,T-002-1 ,大唐夫人 ,适中 ,聚酯 ,2017年春季 ,朴实 ,肌理图案 ,60周岁以上 ,宽松 ,单件 ,开衫 ,常规 ,半开领 ,常规 ,单排扣 ,51%(含)-70%(含) ,纽扣 
中老年女装夏装长袖开衫妈妈装40-50岁宽松T恤上衣中年妇女衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2051587283/TB28oOJhrFlpuFjy0FgXXbRBVXa_!!2051587283.jpg,https://item.taobao.com/item.htm?id=546598733092&ns=1&abbucket=0#detail,29.00,292人付款,北京,,,适中,"聚酯,其他",2017年夏季,时尚,,40-49周岁,修身,单件,开衫,常规,,常规,单排扣,91%(含)-95%(含),纽扣
中老年妈妈装夏装长袖衬衣服母亲节30-40岁50中年人女装春装衬衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1kiPnRXXXXXakXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545487626899&ns=1&abbucket=0,88.00,594人付款,浙江 嘉兴,A6732271 ,芭蒂丽尔 ,薄 ,其他 ,2017年春季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,开衫 ,短款 ,POLO领 ,常规 ,单排扣 ,96%及以上 ,口袋 
中老年人雪纺连衣裙子妈妈夏装短袖中年妇女装夏季30-40-50岁衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1RCoaQVXXXXbpapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547903803803&ns=1&abbucket=0,99.00,978人付款,北京,6505 ,爱丽雪 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,宽松 ,单件 ,套头 ,中长款 ,圆领 ,衬衫袖 ,,96%及以上 ,纱网 
中老年女装春装衬衫中袖50-80岁妈妈装秋装中年妇女t恤奶奶装上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/841624000/TB233ntltBopuFjSZPcXXc9EpXa_!!841624000.jpg,https://item.taobao.com/item.htm?id=547613536401&ns=1&abbucket=0#detail,29.00,228人付款,江苏 苏州,17-89,,薄,其他,2017年春季,民族风,花色,60周岁以上,宽松,单件,开衫,常规,立领,常规,单排扣,,纽扣
中老年女装妈妈装夏装套装老年人春装上衣裤子两件套奶奶短袖衬衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1I4s.QVXXXXXSXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544901881145&ns=1&abbucket=0,118.00,424人付款,浙江 金华,FCH-VB811 ,FACHAIHUA/发财花 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,花色 ,50-59周岁 ,修身 ,两件套 ,开衫 ,常规 ,V领 ,常规 ,单排扣 ,91%(含)-95%(含) ,口袋 
妈妈夏装衬衫40-50岁2017新款中年女春装短袖上衣中老年宽松薄款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1JUIdQVXXXXbUapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547590781778&ns=1&abbucket=0,158.00,1233人付款,河南 郑州,LZJ17173 ,莱语 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,修身 ,单件 ,开衫 ,常规 ,圆领 ,常规 ,单排扣 ,91%(含)-95%(含) ,纽扣 
母亲节中老年女装夏装衬衫妈妈装夏季宽松春装中年套装雪纺衫衣服,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1t0LQQFXXXXa2aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548344632872&ns=1&abbucket=0,118.00,597人付款,江苏 苏州,HJ1822JHJN616 ,荟娟 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,条纹 ,40-49周岁 ,宽松 ,单件 ,开衫 ,中长款 ,圆领 ,常规 ,,96%及以上 ,
母亲节中老年女装夏装长袖衬衫女中年人妈妈装开衫春秋装衬衣 衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2395424102/TB2tUaNkB0lpuFjSszdXXcdxFXa_!!2395424102.jpg,https://item.taobao.com/item.htm?id=535869589303&ns=1&abbucket=0#detail,36.00,501人付款,北京,jcxw05-1,,适中,"聚酯,棉","2017年春季,2017年夏季",朴实,花色,40-49周岁,修身,单件,开衫,常规,POLO领,衬衫袖,单排扣,91%(含)-95%(含),纽扣
新款中老年大码夏装短袖雪纺T恤衬衫中年妈妈装打底衫雪纺上衣女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/763919544/TB2a3Kym.dnpuFjSZPhXXbChpXa_!!763919544.jpg,https://item.taobao.com/item.htm?id=548267079664&ns=1&abbucket=0#detail,26.90,1060人付款,北京,8868,,,聚酯,2017年夏季,民族风,碎花,50-59周岁,宽松,单件,套头,中长款,,常规,,,
