宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,服装版型,组合形式,穿着方式,衣长,领型,袖型,衣门襟,成分含量,服装款式细节
老人夏装套装60岁中老年人女装奶奶春装短袖衣服妈妈70夏季两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1uQnOQVXXXXaHXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545377199249&ns=1&abbucket=0,99,4641人付款,浙江金华,T-17002,大唐夫人,适中,聚酯,2017年春季,朴实,花色,50-59周岁,宽松,单件,开衫,常规,其他,常规,单排扣,91%(含)-95%(含),纽扣
夏装衬衫中年宽松大码雪纺上衣中老年女装春中袖T恤妈妈装打底衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1646196787/TB2AVeuiUlnpuFjSZFjXXXTaVXa_!!1646196787.jpg,https://item.taobao.com/item.htm?id=539818340040&ns=1&abbucket=0#detail,29.9,4216人付款,北京,20165558,钱丽娜,适中,"聚酯,雪纺",2017年夏季,时尚,大花,40-49周岁,宽松,单件,套头,常规,POLO领,常规,三粒扣,96%及以上,纽扣
妈妈装夏装套装40-50岁2017新款上衣中年女装短袖T恤中老年雪纺衫,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1WdT8QFXXXXXjXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547474166684&ns=1&abbucket=0,69.12,6582人付款,江苏苏州,SYMR-YX-002,索颜美人,薄,聚酯,2017年夏季,时尚,纯色,40-49周岁,宽松,,套头,常规,V领,常规,,96%及以上,
妈妈装夏装套装短袖中年人大码40-50岁中老年女装T恤雪纺衫两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/283013541/TB2MeK1pHlmpuFjSZFlXXbdQXXa_!!283013541.jpg,https://item.taobao.com/item.htm?id=545563300249&ns=1&abbucket=0#detail,39.8,5542人付款,江苏苏州,,,薄,"雪纺,蕾丝",2017年夏季,时尚,纯色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,镂空
中老年女装t恤2017新款夏季中年大码雪纺衬衫妈妈夏装上衣40岁50,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1KGo3QXXXXXa7aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547499331259&ns=1&abbucket=0,88,7719人付款,湖北武汉,01SS543,顶慕,适中,其他,2017年夏季,时尚,,40-49周岁,修身,单件,套头,短款,POLO领,常规,,96%及以上,纽扣
中年妈妈装夏装雪纺衫30中老年女装t恤中袖打底衫40-50岁上衣套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1HZo2QpXXXXcTXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548327808988&ns=1&abbucket=0,79,5394人付款,江苏苏州,40HHY193904,花惠羽,薄,其他,2017年夏季,时尚,纯色,40-49周岁,宽松,两件套,套头,常规,圆领,荷叶袖,,96%及以上,褶皱
母亲节衣服夏季中老年女装夏装套装40-50岁妈妈装中年妇女短袖t恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB143_JQVXXXXaDXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548650283793&ns=1&abbucket=0,118,5862人付款,浙江嘉兴,ADQZ8625,DUOYEREE/朵莹,薄,聚酯,2017年夏季,时尚,纯色,40-49周岁,修身,两件套,套头,常规,圆领,常规,,96%及以上,
母亲节衣服中老年女装春装40-50岁妈妈装夏装套装中年妇女短袖t恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1oWbqQVXXXXXnXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549297288241&ns=1&abbucket=0,129,6182人付款,浙江嘉兴,BDQSYRA13,DUOYEREE/朵莹,薄,聚酯,2017年夏季,知性,条纹,40-49周岁,宽松,两件套,套头,常规,,喇叭袖,,91%(含)-95%(含),
中老年女夏装上衣短袖雪纺衬衫40-50岁大码胖妈妈装T恤母亲节衣服,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1HfqNQpXXXXbOXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546881753311&ns=1&abbucket=0,88,8275人付款,湖北武汉,KLNG17218,凯利娜格,,聚酯,2017年夏季,时尚,大花,40-49周岁,宽松,假两件,套头,常规,圆领,荷叶袖,,96%及以上,纽扣
中老年女装大码母亲节衣服中年女夏装裤子妈妈装两件套装雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1RmHzQFXXXXcAaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547492847004&ns=1&abbucket=0,139,5153人付款,浙江杭州,P712274T1a,胖织缘福,适中,聚酯,2017年春季,时尚,格子,40-49周岁,宽松,假两件,套头,常规,圆领,常规,,96%及以上,镂空
中老年女装夏装T恤宽松大码胖妈妈装套装中长款衬衫春季40-50岁上,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/118643690/TB2Z9dznJ0opuFjSZFxXXaDNVXa_!!118643690.jpg,https://item.taobao.com/item.htm?id=529053521981&ns=1&abbucket=0#detail,79,5206人付款,北京,BYM1603XT3002,棒约美,薄,"雪纺,聚酯,其他","2017年春季,2017年夏季",时尚,抽象图案,40-49周岁,宽松,单件,套头,中长款,立领,常规,,71%(含)-80%(含),
中老年女装短袖T恤套装春装打底衫T恤长袖中年妈妈装上衣宽松上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1618508010/TB2Z5n2j0hvOuFjSZFBXXcZgFXa_!!1618508010.jpg,https://item.taobao.com/item.htm?id=543434069751&ns=1&abbucket=0#detail,19.9,4762人付款,江苏苏州,,,适中,,2017年春季,知性,,50-59周岁,宽松,单件,套头,常规,圆领,泡泡袖,,,
中老年女装夏装套装40-50岁中年女妈妈装夏季短袖t恤休闲运动套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2659332984/TB25Bp8guJ8puFjy1XbXXagqVXa_!!2659332984.jpg,https://item.taobao.com/item.htm?id=545364674114&ns=1&abbucket=0#detail,49,4233人付款,江苏苏州,B288,,,"棉,其他",2017年春季,休闲,其他,40-49周岁,宽松,两件套,套头,常规,圆领,,,96%及以上,
妈妈装夏装40-50岁短袖T恤中老年女装圆领仿真丝中年妇女夏季上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/268504757/TB2IrN0jb8kpuFjy0FcXXaUhpXa_!!268504757.jpg,https://item.taobao.com/item.htm?id=546558126569&ns=1&abbucket=0#detail,29.9,3730人付款,江苏苏州,T6121,,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,修身,单件,套头,常规,圆领,常规,,,
中老年人女装夏装t恤60-70岁老人衣服女夏短袖奶奶装夏装套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2820789655/TB29qKNprxmpuFjSZJiXXXauVXa_!!2820789655.jpg,https://item.taobao.com/item.htm?id=549079822314&ns=1&abbucket=0#detail,49,2846人付款,浙江杭州,,other/其他,适中,聚酯,2017年夏季,福态,花鸟图案,60周岁以上,宽松,两件套,开衫,常规,圆领,常规,单排扣,,
中老年女装夏装套装上衣短袖棉麻T恤两件套大码中年妈妈装宽松,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1618508010/TB2bD9VngJkpuFjSszcXXXfsFXa_!!1618508010.jpg,https://item.taobao.com/item.htm?id=546465584951&ns=1&abbucket=0#detail,19,3434人付款,江苏苏州,,,薄,,2017年夏季,时尚,花色,50-59周岁,宽松,单件,套头,常规,其他,常规,,,
母亲节衣服中年女春装套短袖t恤40-50岁妈妈夏装中老年女装雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1kCs3OpXXXXahaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549212474429&ns=1&abbucket=0,99,5046人付款,浙江嘉兴,BDHY906,DUOYEREE/朵莹,适中,聚酯,2017年夏季,知性,花色,40-49周岁,宽松,单件,套头,中长款,V领,常规,,96%及以上,镶钻
妈妈装中年女装夏季短袖雪纺衫30-40-50岁时尚纯色中老年上衣T恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1953870202/TB2f36Ijd4opuFjSZFLXXX8mXXa_!!1953870202.jpg,https://item.taobao.com/item.htm?id=546721904199&ns=1&abbucket=0#detail,35,3872人付款,江苏苏州,,,薄,雪纺,"2017年春季,2017年夏季",时尚,纯色,40-49周岁,宽松,单件,套头,常规,圆领,荷叶袖,,,荷叶边
中老年女装春夏装套装短袖T恤妈妈装长袖蕾丝连衣裙40-50岁两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2507541929/TB2Hqdyl04opuFjSZFLXXX8mXXa_!!2507541929.jpg,https://item.taobao.com/item.htm?id=546030088044&ns=1&abbucket=0#detail,69,6501人付款,江苏苏州,,,,"蕾丝,聚酯","2017年春季,2017年夏季",时尚,动物图案,40-49周岁,宽松,单件,套头,中长款,POLO领,常规,,,
中老年女夏装t恤两件套中年妇女雪纺衫大码上衣潮40岁妈妈装套装,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1cfo5QFXXXXXjXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549336399236&ns=1&abbucket=0,158,6203人付款,浙江嘉兴,JH17B58,简狐,,涤纶,2017年夏季,时尚,条纹,40-49周岁,宽松,两件套,套头,常规,V领,喇叭袖,,96%及以上,
母亲节衣服夏季妈妈装夏装中袖套装中年女雪纺衫T恤中老年人衬衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1vSHORXXXXXaRXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547692595375&ns=1&abbucket=0,68,4032人付款,江苏苏州,BY898881,冰盈,薄,聚酯,2017年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,中长款,V领,常规,三粒扣,96%及以上,纽扣
中老年女装中袖春夏装套装妈妈装T恤上衣+裤子中年人打底衫两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2132824876/TB2zM.ThNBmpuFjSZFsXXcXpFXa_!!2132824876.jpg,https://item.taobao.com/item.htm?id=546193962601&ns=1&abbucket=0#detail,49.9,3775人付款,江苏苏州,,,,"聚酯,其他","2017年春季,2017年夏季",时尚,其他,40-49周岁,修身,两件套,套头,常规,,常规,,,
妈妈装时尚夏装上衣中年女T恤短袖女装40-50岁母亲节衣服夏季套装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1UIjfQXXXXXabaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546355655422&ns=1&abbucket=0,108,5816人付款,浙江嘉兴,QBE-JCC8817,千百恩,薄,其他,2017年夏季,通勤,格子,40-49周岁,宽松,单件,套头,常规,半开领,常规,,96%及以上,纽扣
妈妈装夏装套装母亲节上衣中老年人女装夏季短袖T恤衣服2017新款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1AjaIQpXXXXXDaFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=535729440543&ns=1&abbucket=0,158,7076人付款,广东广州,H16XD25266,百画缘,薄,聚酯,2016年夏季,时尚,花色,50-59周岁,宽松,两件套,套头,常规,其他,蝙蝠袖,,81%(含)-90%(含),褶皱
母亲节衣服妈妈夏装上衣女40-50岁2017夏新款雪纺衫套装中老年T恤,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1ozzMRXXXXXbfXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549285187165&ns=1&abbucket=0,98,5071人付款,浙江嘉兴,P-X-PP0317,雪夕,,聚酯,2017年夏季,休闲,花鸟图案,40-49周岁,宽松,两件套,套头,常规,POLO领,衬衫袖,,96%及以上,铆钉
夏季中老年女装韩版体恤大码妈妈装30-40-50岁短袖t恤衫宽松上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1584570824/TB2HRYorJFopuFjSZFHXXbSlXXa_!!1584570824.jpg,https://item.taobao.com/item.htm?id=531181730394&ns=1&abbucket=0#detail,9.9,2627人付款,北京,2016,other/其他,薄,聚酯,2017年春季,时尚,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,81%(含)-90%(含),
中年女装夏装天丝棉短袖T恤打底衫妈妈装衬衫40-50岁大码薄款上衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/1893915532/TB28PZYpr4npuFjSZFmXXXl4FXa_!!1893915532.jpg,https://item.taobao.com/item.htm?id=548517903062&ns=1&abbucket=0#detail,29,6410人付款,江苏苏州,魏-短袖,,薄,"聚酯,棉,其他",2017年夏季,时尚,花色,40-49周岁,宽松,单件,套头,常规,圆领,,,81%(含)-90%(含),
2017新款妈妈装春装打底衫中年女装夏装针织衫T恤中老年大码上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2083339599/TB2YxnMfypnpuFjSZFkXXc4ZpXa_!!2083339599.jpg,https://item.taobao.com/item.htm?id=545189768264&ns=1&abbucket=0#detail,73.8,5225人付款,浙江嘉兴,,,薄,其他,"2017年春季,2017年夏季",时尚,其他,40-49周岁,宽松,单件,套头,常规,其他,常规,,,钉珠
母亲节妈妈夏装宽松套装中年女装短袖t恤+裤子老年绣花两件套新款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2870284172/TB26BaLhNRDOuFjSZFzXXcIipXa_!!2870284172.jpg,https://item.taobao.com/item.htm?id=548525036646&ns=1&abbucket=0#detail,62,3144人付款,江苏苏州,3450,福妈锦缘,薄,棉麻,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,两件套,套头,短款,V领,常规,,96%及以上,绣花
夏装中老年女装印花圆领短袖T恤宽松打底衫中年人妈妈装夏季上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB17_GXQpXXXXXUXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546705438710&ns=1&abbucket=0,39.9,4006人付款,江苏苏州,GMS022TQM116,歌美思,薄,聚酯,2017年夏季,时尚,大花,40-49周岁,宽松,单件,套头,常规,圆领,,,71%(含)-80%(含),
预售迪葵纳妈妈装夏装新款中年上衣中老年女装短袖T恤WQ5333沣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB16WWKJFXXXXX0XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=527158333364&ns=1&abbucket=0,119,6746人付款,山东济南,WQ5333,Dequanna/迪葵纳,适中,聚酯,2017年夏季,时尚,大花,40-49周岁,修身,单件,套头,常规,圆领,常规,,91%(含)-95%(含),
母亲节中老年女装运动套装中年妈妈夏装大码T恤裤子2017新款40岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1H9Q7QVXXXXajaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548737413311&ns=1&abbucket=0,159,5672人付款,湖北武汉,ZX17B28766,籽煊,薄,聚酯,2017年夏季,运动,条纹,40-49周岁,宽松,两件套,套头,常规,连帽,常规,,31%(含)-50%(含),口袋
中老年女装雪纺衫夏装宽松大码女304045岁中年妈妈装休闲上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2586173245/TB2cXQtXYtlpuFjSspoXXbcDpXa_!!2586173245.jpg,https://item.taobao.com/item.htm?id=543123553071&ns=1&abbucket=0#detail,30,3646人付款,江苏苏州,,,适中,雪纺,2016年夏季,时尚,纯色,40-49周岁,宽松,单件,套头,常规,圆领,,,,
中老年女装40-50岁妈妈装夏装套装短袖上衣T恤中年人大码雪纺衫,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1670211541/TB2E4BqiYXlpuFjSszfXXcSGXXa_!!1670211541.jpg,https://item.taobao.com/item.htm?id=546641572995&ns=1&abbucket=0#detail,26.9,4845人付款,江苏苏州,,other/其他,适中,"聚酯,其他",2017年夏季,民族风,纯色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,
母亲节妈妈装短款短袖T恤中老年夏季新款圆领上衣宽松大码女装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1eM8LRXXXXXacapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546567780424&ns=1&abbucket=0,89,5991人付款,浙江宁波,SHM217-X27,水卉曼,薄,聚酯,2017年夏季,休闲,碎花,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,钉珠
母亲节衣服夏季妈妈装夏装短袖中年人40-50岁套装中老年女装T恤上,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1c2J1QVXXXXcVXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548465282575&ns=1&abbucket=0,69,5001人付款,江苏苏州,28808TX,云新,薄,其他,2017年夏季,民族风,花鸟图案,40-49周岁,宽松,单件,套头,常规,圆领,,,96%及以上,
中老年女装夏季雪纺衫短袖T恤中年妈妈装套装大码宽松七分裤上衣,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1014350737/TB2Qs3ilxXlpuFjSsphXXbJOXXa_!!1014350737.jpg,https://item.taobao.com/item.htm?id=545656074466&ns=1&abbucket=0#detail,29.8,3414人付款,江苏苏州,A-3368,,适中,雪纺,2017年夏季,新潮,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,91%(含)-95%(含),绣花
新款中老年女装七分袖衬衫妈妈装开衫上衣老人大码T恤衬衣女夏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1TswEQXXXXXbhXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547281821586&ns=1&abbucket=0,26.5,3163人付款,北京,801,卡菲玛依,薄,聚酯,2017年夏季,时尚,花色,40-49周岁,修身,单件,开衫,常规,其他,常规,单排扣,96%及以上,
香颜妈妈装夏装时尚套装中老年女装夏季2017新款两件套短袖上衣,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1YbCIQVXXXXXsXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549433436969&ns=1&abbucket=0,158,4553人付款,浙江嘉兴,XYALC1718,香颜,薄,其他,2017年夏季,时尚,其他,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,
中老年女装夏装套装假两件大码中年女40-50岁t恤妈妈夏装两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1584180606/TB2cPijoB8lpuFjy0FnXXcZyXXa_!!1584180606.jpg,https://item.taobao.com/item.htm?id=548705789246&ns=1&abbucket=0#detail,39.9,2828人付款,江苏苏州,,,,蕾丝,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,单件,套头,中长款,,常规,,,镶钻
中年妈妈装夏装两件套装中老年女装短袖雪纺衫t恤新款上衣40-50岁,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1g7A3QpXXXXXEXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548285224373&ns=1&abbucket=0,69,3673人付款,江苏苏州,T49,玛依恋,薄,其他,2017年夏季,时尚,其他,40-49周岁,宽松,两件套,套头,,圆领,,,96%及以上,纱网
中老年女装夏装雪纺短袖T恤套装妈妈装大码宽松七分裤上衣两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1CN.3JFXXXXanXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=532802677552&ns=1&abbucket=0#detail,35,3023人付款,江苏苏州,,,薄,"雪纺,其他","2016年夏季,2017年夏季",时尚,花色,40-49周岁,修身,两件套,套头,常规,圆领,常规,,,镶钻
中老年夏装季女T恤2017新款母亲节衣服时尚妈妈套装雪纺衫40-50岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1iNaoQVXXXXaLXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549148005814&ns=1&abbucket=0,138,4642人付款,江苏苏州,BLD17196T,MUSHOWMO/慕袖,,,2017年夏季,时尚,其他,40-49周岁,宽松,两件套,套头,短款,圆领,常规,,,
千百怡恋中年女夏装短袖套装新款妈妈装时尚大码t恤阔腿裤两件套,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1dNZrQVXXXXbBaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549368577080&ns=1&abbucket=0,148,4391人付款,上海,Q7TA220,千百·怡恋,薄,聚酯,2017年夏季,时尚,抽象图案,40-49周岁,宽松,两件套,套头,短款,圆领,常规,,96%及以上,口袋
中老年女真丝上衣夏新款真丝T恤妈妈大码半袖印花桑蚕丝宽松衬衣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/816536076/TB2G4lgpmFmpuFjSZFrXXayOXXa_!!816536076.jpg,https://item.taobao.com/item.htm?id=545985235265&ns=1&abbucket=0#detail,108,4522人付款,浙江嘉兴,,,,蚕丝,2017年夏季,时尚,花鸟图案,,宽松,单件,套头,常规,圆领,常规,,,
母亲节衣服夏季中老年女装夏装短袖套装雪纺衫T恤妈妈装两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1chPDQVXXXXXnapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44341542013&ns=1&abbucket=0,79,5620人付款,江苏苏州,YUN-3055,蕴涵,,聚酯,2016年夏季,时尚,花色,40-49周岁,宽松,两件套,套头,中长款,V领,常规,,96%及以上,
中老年女装雪纺衫40-50岁中老年大码上衣新款妈妈装夏装短袖t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1WtZlPVXXXXXVXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=45276650424&ns=1&abbucket=0,59,4265人付款,江苏苏州,GDFH919,歌迪凤凰,薄,聚酯,2017年春季,时尚,花色,40-49周岁,宽松,单件,套头,常规,V领,常规,,91%(含)-95%(含),镶钻
妈妈装夏装短袖t恤中老年大码宽松雪纺上衣40-50-60岁中年妇女装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB129uDQpXXXXXDaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547804717304&ns=1&abbucket=0,12.9,2656人付款,北京,SLN-1996,赛蕾娜,薄,聚酯,2017年夏季,民族风,花色,40-49周岁,宽松,单件,套头,,,,,96%及以上,
中老年女装夏装中年妈妈装40岁-50岁两件套大码上衣短袖T恤雪纺衫,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1TqeJQVXXXXXiXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549663463061&ns=1&abbucket=0,58,3805人付款,浙江嘉兴,JTX-1505,春盈,,其他,2017年夏季,,,,,,,,,,,96%及以上,
中老年女装夏季短袖中年人上衣大码t恤40-50岁妈妈装夏装套装奶奶,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1yaDaHpXXXXavaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=44259754466&ns=1&abbucket=0,69,2900人付款,江苏苏州,MNS15X021,摩尼树,薄,其他,2015年夏季,休闲,其他,40-49周岁,宽松,两件套,套头,,圆领,,,96%及以上,
胖妈妈装夏装套装40-50-60岁纯棉麻七分裤中老年女装夏装短袖t恤,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2928530300/TB2PAp2leJ8puFjy1XbXXagqVXa_!!2928530300.jpg,https://item.taobao.com/item.htm?id=546512641526&ns=1&abbucket=0#detail,29.9,2894人付款,江苏苏州,8899,自创品牌,薄,"纯棉,棉麻,麻","2017年春季,2017年夏季",民族风,纯色,40-49周岁,宽松,两件套,开衫,中长款,V领,常规,三粒扣,96%及以上,绣花
迪葵纳妈妈装春装上衣中年女装夏装中老年可调节短袖T恤WQ5814沣,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/TB1RRXiMXXXXXXCXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=528263678386&ns=1&abbucket=0,139,4937人付款,山东济南,WQ5814,Dequanna/迪葵纳,适中,纯棉,2017年春季,时尚,抽象图案,40-49周岁,直筒,单件,套头,常规,圆领,常规,,96%及以上,
母亲节衣服中老年女夏装30-40-50岁上衣中年妈妈2017新款短袖套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1712828660/TB21ATMowxlpuFjSszbXXcSVpXa_!!1712828660.jpg,https://item.taobao.com/item.htm?id=547149009808&ns=1&abbucket=0#detail,29,2276人付款,江苏苏州,qs3221603,,薄,聚酯,2017年夏季,时尚,花鸟图案,40-49周岁,宽松,两件套,套头,短款,圆领,常规,,96%及以上,
母亲节妈妈装夏装套装短袖t恤2017新款中老年女装50上衣服两件套,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1fVZiQFXXXXaiXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549152042390&ns=1&abbucket=0,159,3637人付款,湖北武汉,LW17C420,Lonwill/乐力欧,适中,其他,2017年夏季,时尚,花色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,纽扣
中老年女装春装短袖t恤母亲节妈妈夏装上衣2017新款40-50岁中年女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1CL4vQpXXXXczapXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547599921243&ns=1&abbucket=0,118,4328人付款,浙江嘉兴,JH17BNYS17059,简狐,薄,聚酯,2017年夏季,,花色,40-49周岁,宽松,单件,套头,常规,圆领,常规,,96%及以上,纽扣
2017中老年人女装套装40-50岁60妈妈装夏装大码奶奶装短袖T恤70春,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB16KBpQpXXXXX0XpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547471622944&ns=1&abbucket=0#detail,59,2540人付款,江苏苏州,KF-201709,枫韵情,适中,其他,"2017年夏季,2017年春季",通勤,花色,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,
老年人女装夏装40-50岁妈妈装棉麻套装中老年短袖t恤阔腿裤两件套,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1682768129/TB2Dn5ri_cCL1FjSZFPXXXZgpXa_!!1682768129.jpg,https://item.taobao.com/item.htm?id=548841686517&ns=1&abbucket=0#detail,59,2372人付款,江苏苏州,,自主品牌,薄,"棉,麻",2017年夏季,民族风,大花,50-59周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,口袋
母亲节妈妈装夏装中老年女装套装夏装中年两件套宽松短袖T恤服饰,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1zPPvJVXXXXcUXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=532069357872&ns=1&abbucket=0,38.9,3379人付款,北京,LN1003,诗扬,,其他,2016年夏季,民族风,纯色,40-49周岁,宽松,两件套,套头,常规,圆领,常规,,96%及以上,纽扣
中老年女装夏装妈妈装长袖T恤雪纺衫短袖套装40-50岁大码上衣裤子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/785884220/TB2dZivnFXXXXbfXpXXXXXXXXXX_!!785884220.jpg,https://item.taobao.com/item.htm?id=44921890389&ns=1&abbucket=0#detail,19.6,1457人付款,江苏苏州,,重拾青春,适中,"雪纺,聚酯,其他","2017年春季,2017年夏季",时尚,花色,50-59周岁,宽松,单件,套头,常规,圆领,常规,,,绣花
