ID,Gender,Height_cm,Weight_kg,Shoe size_cm
2170,Male,178,90,27.5
2171,Female,165,62,24
2172,Female,157,65,23
2173,Male,167,71,27.5
2174,Male,171,77,28
2175,Female,156,55,23
2176,Female,163,63,24
2177,Male,177,85,28.5
2178,Male,184,85,29
2179,Male,172,77,28
2180,Male,190,100,30
2181,Female,166,70,24.5
2182,Female,172,67,25.5
2183,Female,165,64,24.5
2184,Male,166,76,26.5
2185,Female,156,58,23
2186,Female,165,70,24.5
2187,Male,176,80,28.5
2188,Female,166,62,24.5
2189,Male,175,87,28
2190,Male,173,83,28
2191,Male,192,104,30.5
2192,Female,171,76,25
2193,Female,161,61,25
2194,Male,171,71,28.5
2195,Male,176,79,29
2196,Male,184,93,29
2197,Male,177,91,28.5
2198,Male,178,92,28.5
2199,Female,154,55,22.5
2200,Male,168,74,27.5
2201,Female,163,56,24
2202,Male,180,88,29
2203,Female,170,67,25
2204,Male,170,85,28
2205,Female,154,52,22.5
2206,Male,171,81,28
2207,Female,159,60,23
2208,Male,177,84,28.5
2209,Female,162,75,24
2210,Female,162,65,24
2211,Female,164,56,24.5
2212,Male,180,93,29
2213,Female,162,65,24
2214,Male,184,95,29
2215,Female,151,47,23
2216,Female,164,65,24.5
2217,Male,187,109,30
2218,Female,154,51,22.5
2219,Male,180,83,29
2220,Female,162,60,23.5
2221,Female,171,74,25
2222,Male,162,68,27
2223,Male,171,77,28
2224,Female,140,40,21.5
2225,Female,157,53,23
2226,Female,159,64,23
2227,Female,170,60,25
2228,Female,170,72,25
2229,Female,168,64,25
2230,Male,171,80,28
2231,Male,175,82,28
2232,Female,159,48,23
2233,Female,158,61,23
2234,Female,161,67,24
2235,Male,171,78,28
2236,Female,164,72,24
2237,Female,151,57,22
2238,Female,147,41,21
2239,Male,172,84,28
2240,Male,189,113,30
2241,Male,180,93,29
2242,Female,161,51,24
2243,Female,160,63,24
2244,Male,177,79,28
2245,Male,173,94,28.5
2246,Male,168,68,27.5
2247,Female,169,70,25
2248,Female,171,73,25
2249,Male,179,97,29
2250,Female,172,69,25.5
2251,Female,164,63,24.5
2252,Male,155,67,26
2253,Female,164,62,24.5
2254,Female,156,48,23
2255,Female,162,59,24
2256,Male,173,82,28
2257,Male,164,78,27
2258,Male,184,101,29
2259,Female,161,55,24
2260,Male,178,83,28.5
2261,Female,176,71,26
2262,Female,178,91,27
2263,Male,185,102,29.5
2264,Male,169,78,27.5
2265,Male,165,66,27
2266,Female,148,50,22
2267,Female,165,58,24.5
2268,Male,159,68,26
2269,Female,168,69,25
2270,Female,158,56,23
2271,Male,176,84,28.5
2272,Male,176,80,28.5
2273,Female,160,60,24
2274,Male,167,74,27.5
2275,Female,149,50,22
2276,Female,163,56,24.5
2277,Male,171,82,28
2278,Female,169,70,25
2279,Male,175,80,28.5
2280,Male,174,77,28
2281,Female,170,63,25
2282,Male,177,80,28.5
2283,Male,167,77,27
2284,Male,189,99,29.5
2285,Male,165,62,27.5
2286,Female,160,56,24
2287,Male,175,96,29
2288,Male,176,89,28.5
2289,Male,173,74,27.5
2290,Female,169,70,24.5
2291,Male,169,78,26.5
2292,Female,172,73,25
2293,Female,168,64,25
2294,Male,172,84,28
2295,Female,164,60,24.5
2296,Male,182,87,29
2297,Male,183,98,29
2298,Female,165,66,24
2299,Male,182,90,29
2300,Female,167,64,24.5
2301,Male,174,81,27
2302,Male,180,82,28.5
2303,Male,176,92,28.5
2304,Female,170,64,24.5
2305,Male,175,87,28.5
2306,Female,158,47,23
2307,Male,176,84,28.5
2308,Male,183,87,29
2309,Male,167,73,27.5
2310,Female,160,53,24
2311,Male,186,100,29.5
2312,Male,178,85,29
2313,Female,160,59,24.5
2314,Female,162,67,24
2315,Female,186,86,
2316,Female,170,70,25
2317,Male,170,86,28
2318,Female,173,71,25.5
2319,Female,163,59,24
2320,Male,186,102,29.5
2321,Female,161,53,24.5
2322,Female,157,59,23
2323,Male,170,70,28
2324,Male,180,85,29
2325,Male,176,80,28.5
2326,Female,160,59,24
2327,Female,154,51,22.5
2328,Male,161,72,27
2329,Female,156,61,23
2330,Male,194,98,30
2331,Female,160,64,24
2332,Female,153,51,22.5
2333,Male,189,96,29.5
2334,Male,165,75,27.5
2335,Female,146,41,21.5
2336,Female,164,68,24.5
2337,Male,183,83,29
2338,Male,176,88,28.5
2339,Female,158,48,23
2340,Male,170,74,28
2341,Female,153,49,22.5
2342,Male,170,74,28
2343,Female,154,54,23
2344,Female,153,49,23
2345,Male,177,85,28.5
2346,Male,185,87,29.5
2347,Male,174,78,28
2348,Female,159,53,23
2349,Male,174,81,28
2350,Male,168,74,27.5
2351,Male,173,85,28
2352,Female,161,62,24
2353,Female,163,67,24
2354,Female,150,56,22
2355,Male,169,74,27.5
2356,Female,162,60,24
2357,Female,161,59,24.5
2358,Male,181,81,29.5
2359,Female,161,58,24
2360,Female,145,45,21
2361,Male,183,88,29
2362,Female,152,49,22.5
2363,Female,154,52,22.5
2364,Female,159,55,23
2365,Female,168,74,25
2366,Female,153,52,22.5
2367,Male,188,103,29.5
2368,Female,152,58,23.5
2369,Female,161,59,24
2370,Male,188,103,29.5
2371,Male,174,80,28
2372,Male,189,95,29.5
2373,Female,156,53,23
2374,Male,171,77,29
2375,Male,171,77,28
2376,Female,174,85,26
2377,Female,158,59,24
2378,Female,165,65,24.5
2379,Female,142,38,20.5
2380,Male,196,105,
2381,Female,154,49,22.5
2382,Male,179,89,29.5
2383,Female,157,57,23
2384,Male,172,77,28
2385,Male,183,88,29
2386,Female,162,63,24
2387,Female,158,62,23
2388,Male,177,84,28.5
2389,Female,154,52,22.5
2390,Male,173,82,27.5
2391,Male,184,101,29
2392,Female,164,62,24
2393,Male,192,102,31
2394,Female,163,55,24
2395,Female,156,48,23
2396,Male,178,95,28.5
2397,Male,177,82,28.5
2398,Male,167,73,27.5
2399,Male,177,98,29
2400,Male,193,109,30
2401,Male,166,72,28
2402,Male,176,78,28
2403,Male,169,81,27.5
2404,Male,178,92,29
2405,Female,162,59,24
2406,Female,160,62,23.5
2407,Female,163,63,24
2408,Male,174,82,27
2409,Female,158,57,23
2410,Female,175,80,25.5
2411,Female,153,54,22.5
2412,Female,169,68,25
2413,Female,157,56,23
2414,Male,179,83,28.5
2415,Male,167,77,27.5
2416,Male,165,76,27.5
2417,Male,174,77,28
2418,Female,155,48,22.5
2419,Male,170,90,28.5
2420,Female,164,61,25
2421,Male,161,66,27
2422,Male,171,81,28
2423,Male,169,94,28
2424,Male,184,102,29.5
2425,Female,161,61,23
2426,Male,182,86,29
2427,Female,145,48,21
2428,Female,159,55,23
2429,Female,160,61,24
2430,Female,173,76,25.5
2431,Female,164,70,24.5
2432,Male,174,85,28
2433,Male,173,82,28
2434,Female,161,62,23
2435,Male,173,84,28
2436,Female,160,54,24
2437,Male,164,83,27.5
2438,Female,157,56,23.5
2439,Male,179,81,28.5
2440,Male,163,71,27
2441,Female,157,60,23
2442,Male,174,81,28
2443,Male,168,70,27.5
2444,Female,154,51,22.5
2445,Male,174,78,28
2446,Female,153,54,22.5
2447,Male,173,88,28
2448,Male,174,84,28
2449,Male,175,79,29.5
2450,Female,156,58,22.5
2451,Male,183,87,29.5
2452,Male,174,86,28
2453,Female,160,61,24
2454,Female,159,56,23
2455,Female,167,72,24.5
2456,Female,167,57,24.5
2457,Female,168,61,25
2458,Male,181,90,28.5
2459,Male,178,86,28.5
2460,Male,175,78,28.5
2461,Male,185,93,29.5
2462,Male,175,87,28.5
2463,Male,171,77,28
2464,Female,157,52,23
2465,Male,180,98,29.5
2466,Male,167,74,27.5
2467,Male,185,90,29.5
2468,Female,159,56,23
2469,Female,159,61,23
2470,Female,171,78,24.5
2471,Male,162,76,27
2472,Female,160,65,24
2473,Male,171,90,28.5
2474,Female,161,59,24
2475,Female,171,66,25
2476,Female,164,65,24.5
2477,Female,166,54,24.5
2478,Male,173,81,28
2479,Female,152,52,22.5
2480,Male,181,94,29
2481,Female,160,63,24
2482,Female,163,62,24
2483,Male,165,74,27.5
2484,Female,144,38,21
2485,Male,175,86,28.5
2486,Male,156,65,26.5
2487,Male,174,88,28
2488,Male,179,92,28.5
2489,Male,175,87,28.5
2490,Male,177,84,28.5
2491,Female,156,55,23
2492,Male,183,97,29
2493,Female,174,68,25.5
2494,Female,163,69,24
2495,Female,152,60,21.5
2496,Female,170,66,25
2497,Male,170,70,28
2498,Male,174,90,28
2499,Male,182,92,29
2500,Male,180,88,29
2501,Female,155,51,22.5
2502,Female,157,60,23
2503,Female,165,62,25
2504,Male,167,75,27.5
2505,Male,191,103,30
2506,Female,157,56,23
2507,Female,175,75,25
2508,Male,189,102,29.5
2509,Male,181,97,29
2510,Female,157,54,23
2511,Male,174,87,28.5
2512,Male,183,94,29
2513,Female,163,62,24
2514,Female,167,72,24.5
2515,Male,180,80,28.5
2516,Male,176,86,28.5
2517,Male,180,97,29
2518,Female,164,68,24.5
2519,Male,190,100,30
2520,Male,179,90,28.5
2521,Male,169,75,27.5
2522,Male,173,83,28
2523,Male,175,92,29
2524,Female,172,67,25.5
2525,Male,169,79,27.5
2526,Female,162,60,24
2527,Female,170,68,25
2528,Male,181,90,29
2529,Female,169,68,25
2530,Male,174,83,27.5
2531,Male,169,81,27.5
2532,Male,174,83,28
2533,Male,194,105,30
2534,Male,172,85,28
2535,Female,169,70,25
2536,Female,167,59,24.5
2537,Male,171,78,28
2538,Female,157,55,23
2539,Male,174,78,28
2540,Female,169,74,25
2541,Female,170,76,25
2542,Female,163,64,24
2543,Male,169,72,28
2544,Female,158,64,23.5
2545,Female,169,72,25
2546,Female,169,72,25
2547,Female,162,63,23.5
2548,Female,163,67,24
2549,Female,162,60,24
2550,Female,163,56,24
2551,Male,171,77,28
2552,Male,175,79,28.5
2553,Male,187,100,29.5
2554,Female,162,64,24
2555,Male,177,92,28.5
2556,Male,174,88,28
2557,Female,161,57,24
2558,Female,177,75,26.5
2559,Male,173,80,27.5
2560,Female,157,50,23
2561,Female,159,59,23
2562,Male,183,93,29
2563,Female,165,64,24.5
2564,Female,168,68,25
2565,Male,171,76,28
2566,Female,159,63,23
2567,Male,176,85,28.5
2568,Male,182,100,29.5
2569,Male,164,60,27
2570,Male,183,99,29
2571,Male,174,73,27
2572,Male,176,89,28.5
2573,Male,166,72,27
2574,Male,163,73,27
2575,Female,161,55,24
2576,Female,157,60,23
2577,Male,170,78,28
2578,Male,178,90,28.5
2579,Male,172,81,27.5
2580,Female,166,68,24.5
2581,Male,175,80,28.5
2582,Male,186,98,29.5
2583,Female,163,65,24
2584,Female,163,67,24
2585,Female,167,71,24.5
2586,Male,178,86,28.5
2587,Male,175,77,28.5
2588,Male,173,81,28
2589,Male,174,83,28.5
2590,Male,161,61,27
2591,Male,172,79,28
2592,Female,152,45,22.5
2593,Male,172,81,28
2594,Male,179,90,28.5
2595,Female,152,53,22
2596,Female,174,82,25.5
2597,Female,151,51,22
2598,Male,178,91,28.5
2599,Female,166,66,24.5
2600,Female,148,42,22
2601,Male,182,97,29
2602,Male,161,65,27
2603,Female,157,61,23
2604,Male,170,87,28.5
2605,Female,157,59,23
2606,Male,170,85,28
2607,Male,175,81,28.5
2608,Female,158,62,23
2609,Female,169,69,25
2610,Female,163,57,24
2611,Female,164,61,24.5
2612,Female,164,61,24.5
2613,Female,161,56,24
2614,Female,158,53,23
2615,Female,155,54,22.5
2616,Male,180,83,29.5
2617,Female,166,71,24.5
2618,Female,150,54,22.5
2619,Male,176,96,29
2620,Male,178,90,28.5
2621,Female,167,64,24.5
2622,Female,156,60,23
2623,Male,178,85,28.5
2624,Male,170,82,28
2625,Female,159,55,23
2626,Male,166,75,27.5
2627,Male,159,65,26
2628,Male,171,73,28
2629,Male,175,93,29
2630,Female,158,62,23
2631,Female,161,54,24
2632,Male,172,85,28
2633,Female,154,59,22.5
2634,Female,157,61,23
2635,Male,168,69,27.5
2636,Male,170,84,27.5
2637,Female,170,73,25
2638,Male,162,66,27
2639,Female,168,76,25
2640,Female,158,62,24
2641,Female,159,56,23
2642,Male,172,80,28
2643,Female,149,41,22
2644,Male,168,78,27.5
2645,Female,165,51,24.5
2646,Male,176,88,28.5
2647,Male,183,96,29
2648,Female,179,73,26.5
2649,Female,162,67,24
2650,Female,159,53,23
2651,Male,164,68,27
2652,Male,180,92,29
2653,Male,182,94,29
2654,Female,167,66,24.5
2655,Male,184,93,29
2656,Female,159,59,23
2657,Male,179,88,28.5
2658,Female,173,71,25.5
2659,Female,159,49,23
2660,Female,160,54,25
2661,Female,157,59,23
2662,Female,174,81,25.5
2663,Female,169,76,25
2664,Male,180,91,29
2665,Male,175,92,29
2666,Female,144,40,21
2667,Female,159,65,23
2668,Male,171,85,28
2669,Male,172,83,27
2670,Female,163,61,24
2671,Male,183,101,29.5
2672,Female,164,69,24.5
2673,Male,167,71,27.5
2674,Male,170,82,28
2675,Male,183,88,29.5
2676,Female,166,63,25.5
2677,Female,167,74,24.5
2678,Female,162,60,24
2679,Female,158,58,23
2680,Female,174,79,25.5
2681,Female,155,51,23
2682,Female,163,61,24
2683,Male,163,71,27
2684,Male,167,77,28
2685,Female,170,68,25
2686,Male,174,82,28
2687,Male,173,86,28
2688,Male,171,76,28
2689,Male,185,99,29.5
2690,Male,172,85,27
2691,Male,173,83,28
2692,Male,169,76,28
2693,Female,174,68,25.5
2694,Male,171,70,28
2695,Female,169,73,25
2696,Male,167,78,27.5
2697,Female,170,66,25
2698,Female,164,69,24.5
2699,Female,164,67,24.5
2700,Male,166,79,27.5
2701,Male,185,91,29.5
2702,Male,181,88,29
2703,Female,162,59,24
2704,Male,161,75,27
2705,Male,181,95,29
2706,Female,151,45,22
2707,Male,175,82,29
2708,Female,157,51,23
2709,Male,175,88,28.5
2710,Male,190,100,30
2711,Male,172,84,28
2712,Female,161,54,24.5
2713,Male,160,74,27
2714,Male,167,82,28
2715,Female,150,45,22
2716,Female,154,54,22.5
2717,Female,168,69,25
2718,Male,176,88,28.5
2719,Female,155,55,23.5
2720,Female,168,68,25
2721,Male,175,92,29
2722,Male,178,87,28.5
2723,Male,170,80,28
2724,Male,172,75,28
2725,Female,157,45,23
2726,Male,177,89,28.5
2727,Female,169,66,25
2728,Female,166,65,24.5
2729,Male,165,81,27.5
2730,Male,170,77,28
2731,Female,164,64,24.5
2732,Male,179,98,29
2733,Female,161,70,24
2734,Female,169,64,25
2735,Male,182,87,29
2736,Male,182,98,29
2737,Male,171,78,28
2738,Male,182,89,28.5
2739,Female,161,57,24
2740,Female,168,72,25
2741,Female,168,81,25
2742,Female,157,59,23
2743,Male,180,92,29
2744,Female,155,57,22.5
2745,Male,170,70,28
2746,Female,162,66,24
2747,Male,181,89,29
2748,Male,172,76,28
2749,Female,165,67,24.5
2750,Male,173,84,28
2751,Male,192,105,30
2752,Male,174,82,28
2753,Male,176,88,28.5
2754,Male,163,70,27
2755,Male,166,73,27.5
2756,Male,171,73,28
2757,Male,182,91,30
2758,Male,166,80,27.5
2759,Male,181,92,29
2760,Female,157,56,23
2761,Female,157,54,23
2762,Male,174,82,28
2763,Female,163,58,24.5
2764,Male,165,79,27.5
2765,Female,170,70,25.5
2766,Male,180,91,29
2767,Female,166,66,24.5
2768,Male,175,89,28.5
2769,Male,172,81,28.5
2770,Male,180,88,29
2771,Female,154,49,22.5
2772,Male,170,82,28
2773,Female,163,55,24.5
2774,Female,146,43,21
2775,Male,169,81,27.5
2776,Male,176,84,28.5
2777,Female,164,66,24.5
2778,Female,166,69,24.5
2779,Female,153,61,22.5
2780,Female,153,52,22.5
2781,Male,171,82,28
2782,Male,183,90,29
2783,Male,172,88,28
2784,Female,153,50,22.5
2785,Male,161,71,27
2786,Male,186,97,28.5
2787,Male,164,71,28
2788,Male,177,85,28.5
2789,Female,159,58,23
2790,Male,177,89,28.5
2791,Female,169,71,25
2792,Female,176,71,25.5
2793,Female,179,87,26.5
2794,Female,164,67,24.5
2795,Female,163,68,24
2796,Male,169,78,27.5
2797,Female,148,46,21
2798,Male,186,98,29.5
2799,Male,182,98,29
2800,Female,163,66,24
2801,Female,152,47,22.5
2802,Female,162,71,24
2803,Female,162,64,24
2804,Male,171,77,27
2805,Female,158,52,23
2806,Male,175,79,28.5
2807,Male,167,81,27
2808,Male,174,84,28
2809,Female,160,54,24
2810,Female,173,75,25.5
2811,Male,186,93,29.5
2812,Female,159,61,23
2813,Male,175,88,28.5
2814,Male,185,96,30
2815,Male,171,80,28.5
2816,Female,162,52,24
2817,Male,195,115,31.5
2818,Male,173,85,28
2819,Female,169,74,24.5
2820,Female,164,60,24.5
2821,Male,174,84,28
2822,Male,168,77,27.5
2823,Female,154,62,22.5
2824,Male,172,83,28
2825,Male,171,79,28
2826,Female,156,53,23
2827,Female,158,64,23
2828,Male,193,105,30
2829,Female,149,42,22
2830,Male,175,80,28.5
2831,Male,185,92,29.5
2832,Male,181,89,29
2833,Male,165,67,27.5
2834,Male,181,87,29.5
2835,Female,152,57,22
2836,Male,175,85,28.5
2837,Male,168,75,27.5
2838,Male,172,81,28
2839,Female,168,63,25
2840,Male,173,87,28
2841,Female,166,62,24.5
2842,Male,169,78,27.5
2843,Male,180,93,29
2844,Male,188,88,29.5
2845,Female,166,71,24.5
2846,Female,160,67,24
2847,Male,172,87,28
2848,Male,160,63,27
2849,Male,166,66,27.5
2850,Male,172,71,28
2851,Male,176,88,28.5
2852,Female,165,60,24.5
2853,Female,160,58,24
2854,Female,166,71,24.5
2855,Female,163,58,24
2856,Female,159,58,23.5
2857,Female,155,50,22.5
2858,Male,180,93,29
2859,Male,175,93,29
2860,Male,166,78,28
2861,Female,162,64,24
2862,Female,169,57,25
2863,Male,191,98,30
2864,Female,158,55,23
2865,Male,167,76,27.5
2866,Female,157,52,23
2867,Male,168,80,27.5
2868,Female,164,69,24.5
2869,Male,178,89,28.5
2870,Male,169,74,27.5
2871,Female,162,57,24
2872,Male,164,75,27
2873,Female,150,45,22
2874,Female,162,64,24
2875,Male,179,79,28.5
2876,Female,175,69,25.5
2877,Male,165,74,27.5
2878,Female,154,55,22.5
2879,Female,164,64,24.5
2880,Female,156,55,23.5
2881,Male,177,84,28.5
2882,Female,165,62,24.5
2883,Female,167,70,24.5
2884,Male,174,81,28
2885,Female,163,57,24
2886,Female,171,71,25
2887,Male,170,76,28
2888,Female,168,63,26
2889,Male,181,79,29.5
2890,Male,174,86,28
2891,Male,187,94,29.5
2892,Female,166,68,24.5
2893,Female,163,54,23.5
2894,Male,177,80,28.5
2895,Male,173,82,28
2896,Male,199,102,
2897,Male,169,72,27.5
2898,Male,171,85,28
2899,Male,171,85,28
2900,Female,156,54,23
2901,Female,161,58,24
2902,Male,179,95,28.5
2903,Male,170,75,28
2904,Male,174,91,29
2905,Male,166,78,27.5
2906,Male,175,83,28.5
2907,Male,167,80,27.5
2908,Male,169,70,27.5
2909,Female,161,68,24.5
2910,Male,177,92,28.5
2911,Male,188,93,29.5
2912,Male,179,85,28.5
2913,Male,177,94,29
2914,Female,158,56,22.5
2915,Female,176,84,26.5
2916,Female,154,52,22.5
2917,Female,150,50,22
2918,Female,155,61,22.5
2919,Male,167,75,27.5
2920,Male,164,66,27
2921,Female,161,64,24
2922,Female,161,66,24
2923,Male,181,84,30
2924,Male,186,90,29.5
2925,Female,156,57,23
2926,Male,175,79,28.5
2927,Female,169,68,24.5
2928,Male,179,88,28.5
2929,Male,181,93,29
2930,Male,178,81,28.5
2931,Male,161,63,27
2932,Female,148,47,22
2933,Female,162,58,24
2934,Female,169,68,25
2935,Male,185,92,29.5
2936,Male,175,87,28.5
2937,Female,156,58,22.5
2938,Female,167,66,24.5
2939,Male,176,81,28.5
2940,Female,158,55,23
2941,Male,162,62,27
2942,Female,149,50,22
2943,Female,159,49,23
2944,Female,166,65,24.5
2945,Male,167,84,28
2946,Male,176,90,29
2947,Female,163,65,24
2948,Female,154,54,22
2949,Female,163,61,24
2950,Female,162,61,24
2951,Female,171,70,25
2952,Male,182,89,29
2953,Male,172,82,28
2954,Male,174,79,28
2955,Female,158,64,23.5
2956,Male,181,95,28.5
2957,Male,171,82,28
2958,Male,164,76,27
2959,Male,177,84,28.5
2960,Female,152,42,22.5
2961,Female,166,61,25
2962,Female,161,64,24
2963,Male,173,92,28.5
2964,Female,166,62,24.5
2965,Female,159,67,23
2966,Male,159,67,26
2967,Male,164,70,27
2968,Male,170,75,28
2969,Male,169,83,27.5
2970,Male,174,80,28.5
2971,Male,192,101,30
2972,Female,170,60,25
2973,Male,180,90,29
2974,Male,180,90,29
2975,Male,173,84,28
2976,Male,177,87,28.5
2977,Female,152,44,22.5
2978,Female,158,58,23
2979,Male,178,89,28.5
2980,Male,179,89,28.5
2981,Male,180,84,29
2982,Female,156,53,23
2983,Female,160,64,24
2984,Female,173,81,25.5
2985,Male,174,85,28
2986,Female,163,62,24
2987,Female,166,71,25
2988,Male,166,71,27.5
2989,Female,161,52,24
2990,Male,178,94,28.5
2991,Female,155,46,22
2992,Male,178,89,28.5
2993,Female,162,74,24
2994,Male,187,96,29.5
2995,Female,165,60,24.5
2996,Male,180,91,29
2997,Male,167,69,27
2998,Female,162,52,24
2999,Female,167,71,24.5
3000,Male,157,59,26
3001,Female,183,87,
3002,Male,181,90,29
3003,Female,174,73,25.5
3004,Female,152,53,22.5
3005,Male,173,87,28
3006,Female,150,39,22
3007,Male,190,100,30
3008,Female,162,71,24
3009,Female,155,52,22.5
3010,Female,160,63,24
3011,Female,171,83,25
3012,Female,158,61,23
3013,Female,164,65,24.5
3014,Male,170,76,27.5
3015,Male,194,109,30
3016,Female,160,63,24
3017,Female,159,62,23
3018,Female,179,83,26.5
3019,Female,157,60,23
3020,Female,144,40,21
3021,Female,167,75,25
3022,Male,188,103,29.5
3023,Male,175,81,28.5
3024,Male,176,83,28.5
3025,Female,160,58,24
3026,Female,167,69,24.5
3027,Male,177,92,28.5
3028,Female,155,53,22.5
3029,Female,170,82,24.5
3030,Female,165,65,24.5
3031,Female,158,58,22.5
3032,Female,159,55,23
3033,Female,168,69,25
3034,Female,156,63,23
3035,Female,154,52,22.5
3036,Male,180,86,29
3037,Male,179,89,29
3038,Male,177,82,28.5
3039,Male,181,93,29
3040,Female,172,65,25.5
3041,Male,182,89,29
3042,Female,157,55,23
3043,Male,167,73,27.5
3044,Female,160,51,23
3045,Female,156,58,23
3046,Male,187,97,29.5
3047,Female,161,61,24
3048,Female,162,62,24
3049,Female,171,66,25
3050,Female,156,52,23
3051,Female,173,69,26
3052,Male,165,69,27.5
3053,Female,157,64,23
3054,Female,150,50,22
3055,Male,173,82,28
3056,Female,156,53,23
3057,Female,163,63,23.5
3058,Female,161,60,24
3059,Male,164,75,26.5
3060,Female,168,69,25
3061,Female,160,61,24
3062,Female,161,58,24
3063,Male,174,78,28.5
3064,Male,157,66,26
3065,Female,173,75,25.5
3066,Female,169,68,25
3067,Female,164,68,24.5
3068,Male,175,82,28.5
3069,Female,168,75,25
3070,Female,166,62,24.5
3071,Female,178,84,27
3072,Male,180,86,29
3073,Female,162,63,24
3074,Female,163,66,23
3075,Female,171,69,25
3076,Male,172,80,28
3077,Female,165,71,23.5
3078,Female,151,48,22
3079,Female,154,50,22.5
3080,Male,180,87,29
3081,Male,173,79,27.5
3082,Female,167,70,24.5
3083,Male,166,75,27.5
3084,Male,176,88,28.5
3085,Female,167,74,24.5
3086,Male,178,84,28.5
3087,Female,160,60,24
3088,Female,167,64,24.5
3089,Male,175,75,28.5
3090,Female,158,56,23
3091,Female,160,57,24
3092,Female,152,51,22.5
3093,Female,156,48,23
3094,Male,182,92,29
3095,Female,170,63,25
3096,Male,183,92,29
3097,Female,164,65,24.5
3098,Male,186,94,29.5
3099,Female,169,68,25
3100,Male,181,95,29
3101,Female,165,64,24.5
3102,Female,157,53,23
3103,Male,164,64,27
3104,Female,154,54,23
3105,Male,167,79,27.5
3106,Female,165,63,24.5
3107,Male,167,78,27.5
3108,Female,156,50,23
3109,Male,178,85,28.5
3110,Male,170,86,28
3111,Male,177,92,28.5
3112,Male,182,90,29
3113,Female,169,72,25
3114,Female,159,62,24
3115,Female,151,47,22
3116,Female,169,71,25
3117,Male,171,81,28
3118,Male,178,83,28.5
3119,Female,157,55,23
3120,Female,161,61,24
3121,Male,174,76,28
3122,Female,166,71,24.5
3123,Female,155,50,22.5
3124,Male,178,90,28.5
3125,Female,161,58,24
3126,Female,157,56,22.5
3127,Female,155,53,22.5
3128,Male,167,80,27.5
3129,Male,182,96,29
3130,Female,146,50,21
3131,Male,180,82,29
3132,Male,186,100,29.5
3133,Female,162,63,24
3134,Male,184,88,29
3135,Female,168,73,25
3136,Male,178,85,28.5
3137,Male,179,97,29
3138,Male,168,78,27.5
3139,Male,179,88,28.5
3140,Male,177,82,28.5
3141,Male,172,79,28
3142,Female,170,71,25
3143,Female,157,50,23
3144,Male,166,77,27.5
3145,Male,178,83,28.5
3146,Female,165,65,24.5
3147,Female,162,59,24
3148,Female,150,46,22
3149,Male,173,89,28
3150,Female,166,63,24.5
3151,Female,165,61,24.5
3152,Female,160,61,24
3153,Male,174,85,28
3154,Male,176,84,28.5
3155,Male,171,81,28
3156,Female,178,68,26.5
3157,Male,174,89,28
3158,Male,166,82,27.5
3159,Female,152,51,22.5
3160,Male,173,84,28
3161,Male,168,73,27.5
3162,Female,169,72,25
3163,Male,181,91,29
3164,Female,161,60,23.5
3165,Female,159,53,23
3166,Female,168,65,25
3167,Female,156,50,23
3168,Male,179,92,28.5
3169,Female,159,61,23
3170,Female,165,68,24.5
3171,Female,156,48,23
3172,Male,173,85,28
3173,Male,180,88,28.5
3174,Male,172,73,28
3175,Female,154,49,22.5
3176,Male,167,75,27.5
3177,Female,162,73,24
3178,Female,168,70,25
3179,Male,168,73,27.5
3180,Male,177,98,29
3181,Female,155,55,22
3182,Female,160,53,24
3183,Male,165,71,27.5
3184,Male,173,83,28.5
3185,Female,164,67,24.5
3186,Male,183,94,29
3187,Female,154,56,22.5
3188,Female,153,49,22.5
3189,Female,166,69,24.5
3190,Female,160,61,24
3191,Male,179,91,28.5
3192,Female,165,56,24.5
3193,Male,186,95,29.5
3194,Male,167,79,27.5
3195,Female,171,70,25
3196,Female,168,71,25
3197,Male,176,87,28.5
3198,Female,168,76,25
3199,Male,180,91,29
3200,Male,172,80,28
3201,Male,172,80,28
3202,Female,166,75,24.5
3203,Female,144,46,20.5
3204,Female,165,64,24
3205,Female,160,55,24
3206,Male,167,80,27.5
3207,Male,171,87,28
3208,Female,152,50,22.5
3209,Male,176,84,28.5
3210,Male,195,95,31
3211,Male,175,80,28.5
3212,Female,162,56,24
3213,Female,158,57,23
3214,Male,179,92,28.5
3215,Male,169,83,27.5
3216,Female,164,69,24.5
3217,Male,180,91,29
3218,Male,162,72,27
3219,Female,153,61,22.5
3220,Male,173,91,28.5
3221,Male,175,86,28.5
3222,Male,171,79,28
3223,Female,173,72,25.5
3224,Male,164,71,26
3225,Male,179,92,28.5
3226,Male,179,91,28.5
3227,Male,164,75,27
3228,Female,168,62,25
3229,Male,167,70,27.5
3230,Male,181,94,29
3231,Female,156,56,23
3232,Male,181,91,29
3233,Male,181,94,29
3234,Female,170,78,25
3235,Male,166,77,27.5
3236,Male,169,82,27
3237,Female,159,60,23
3238,Male,178,82,28.5
3239,Female,165,67,24
3240,Male,178,84,28.5
3241,Male,170,68,28
3242,Male,175,93,30
3243,Female,162,59,24
3244,Female,152,46,22.5
3245,Female,165,62,24.5
3246,Male,174,78,28
3247,Male,166,74,27.5
3248,Male,173,75,28
3249,Male,167,72,27.5
3250,Male,167,74,27.5
3251,Female,158,49,23
3252,Male,180,94,29
3253,Female,171,79,25
3254,Female,159,62,23
3255,Male,178,81,28.5
3256,Female,157,60,23
3257,Female,172,74,24.5
