出发地,目的地,路线信息,酒店信息
杭州,丽江,"自由行
双飞云南！全程自由行+昆大丽泸8天7晚+N日自由行+特色客栈+接送机
多商圈特色客栈
8天7晚|端午|直飞|多酒店可选
3240起/人","4.9分
其他"
杭州,丽江,"机酒自由行
丽江+香格里拉 直飞丽江 5日纯玩 往返机票+酒店+接送机 下单再赠20公里专车专用
多商圈特色客栈
5天4晚|天天出发|直飞|多酒店可选
2738起/人","4.9分
舒适型"
杭州,丽江,"自由行
昆明+丽江+香格里拉 云南旅游自由行领跑者 轻奢三飞 5晚高端住宿 昆明大理丽江6天爱哪玩哪
豪华型在昆明市博物馆附近
6天5晚|端午|直飞|昆明绿洲大酒店
3280起/人","4.5分
豪华型"
杭州,丽江,"自由行
丽江+香格里拉 <双飞往返丽江>丽江+香格里拉+泸沽湖7天自由行 管家式服务（内附游玩攻略）
多商圈特色客栈
7天6晚|天天出发|直飞|多酒店可选
2366起/人","4.9分
舒适型"
杭州,丽江,"自由行
丽江+大理 不要蓝瘦、香菇，真纯玩，0购物+580元赠送，大理、丽江各一天自由活动！
多商圈双廊游双古城海边客栈
7天6晚|天天出发|直飞|多酒店可选
5.0分 | 已售23人
2580起/人","4.4分
高档型"
杭州,丽江,"自由行
丽江+大理+香格里拉 双飞丽江<丽江+香格里拉+大理7天自由行>赠表演+接送机+专车使用（附攻略）
主题乐园多商圈海边客栈特色客栈
7天6晚|天天出发|直飞|多酒店可选
2610起/人","4.9分
舒适型"
杭州,丽江,"自由行
双飞云南！全程自由行+昆明大理丽江6天5晚+N日自由行+特色客栈+接送机
多商圈特色客栈
6天5晚|天天出发|直飞|多酒店可选
5.0分 | 已售25人
3020起/人","4.9分
其他"
杭州,丽江,"自由行
丽江+大理+香格里拉 直飞丽江9天自由行（含往返机票+20KM专用车+接送机+特色客栈）附旅游攻略
多商圈, 含接送机
9天8晚|天天出发|直飞|多酒店可选
3418起/人","4.9分
舒适型"
杭州,丽江,"自由行
直飞丽江5天4晚自由行+N天自由行+特色客栈+接送机服务+20公里免费用车
新城靠近丽江高快客运站特色客栈
5天4晚|天天出发|直飞|丽江玉碧峰酒店
2110起/人","4.1分
高档型"
杭州,丽江,"自由行
昆明+大理+丽江 双廊精选双飞昆明大理丽江自由行3+N天随意搭配+旅游达人推荐吃喝玩乐
主题乐园多商圈海边客栈
6天5晚|直飞|多酒店可选
5.0分 | 已售24人
2199起/人","4.1分
高档型"
